source,target,frequency,band
Pg1,CZ,254,beta
Pg1,Pg2,254,beta
Pg2,Pg1,254,beta
Pg2,CZ,253,beta
CZ,Pg2,253,beta
CZ,Pg1,253,beta
Fp2,FZ,247,beta
Fp1,FZ,245,beta
Pg1,FZ,245,beta
Pg2,FZ,243,beta
FZ,Pg2,242,beta
FZ,Pg1,242,beta
Fp1,C4,242,beta
Fp2,C4,240,beta
T4,FZ,240,beta
T6,FZ,240,beta
Fp1,F4,240,beta
T5,F8,240,beta
Fp2,F4,239,beta
Fp1,C3,239,beta
T3,FZ,238,beta
Fp1,T6,237,beta
Fp2,C3,237,beta
T5,F3,237,beta
Fp1,O2,237,beta
F3,C3,236,beta
P3,F4,236,beta
T6,F3,236,beta
F8,C4,235,beta
Fp2,T5,235,beta
Fp1,CZ,235,beta
F4,CZ,235,beta
F3,C4,234,beta
T6,F4,234,beta
F7,O2,234,beta
Fp1,PZ,234,beta
T6,F8,234,beta
T4,F4,234,beta
F8,CZ,234,beta
T6,F7,234,beta
P3,FZ,234,beta
T5,FZ,233,beta
Fp1,T3,233,beta
Fp1,T5,233,beta
Fp2,O2,233,beta
C3,FZ,233,beta
PZ,FZ,233,beta
T5,F4,232,beta
FZ,C4,232,beta
Fp1,P3,232,beta
Fp2,CZ,232,beta
F7,CZ,232,beta
T6,CZ,232,beta
Fp2,T6,232,beta
F4,C4,232,beta
Fp2,T3,231,beta
Fp2,P3,231,beta
Fp1,P4,231,beta
Fp2,F3,231,beta
T4,F3,231,beta
O1,F8,231,beta
PZ,F8,231,beta
FZ,CZ,230,beta
T4,F7,230,beta
F3,T6,230,beta
P3,F7,230,beta
F3,T5,230,beta
Fp2,PZ,230,beta
F8,O1,229,beta
T3,F8,229,beta
F4,C3,229,beta
F8,C3,229,beta
P4,FZ,229,beta
F3,PZ,229,beta
F8,O2,229,beta
P3,F3,229,beta
T5,F7,228,beta
F7,C4,228,beta
T5,C4,228,beta
T5,T4,228,beta
T4,T3,228,beta
T6,Fp2,228,beta
T5,Fp2,228,beta
Fp1,T4,228,beta
F3,CZ,228,beta
F7,P4,228,beta
T4,Fp1,228,beta
T3,F3,228,beta
F8,PZ,228,beta
T3,CZ,228,beta
F8,T5,228,beta
T6,T3,227,beta
Fp2,T4,227,beta
F8,FZ,227,beta
PZ,F7,227,beta
C4,FZ,227,beta
O2,FZ,227,beta
F4,O1,227,beta
PZ,F3,227,beta
T3,F4,227,beta
Fp1,O1,227,beta
F3,T3,226,beta
FZ,C3,226,beta
Fp1,F3,226,beta
F3,FZ,226,beta
T5,Fp1,226,beta
T4,F8,226,beta
F8,P4,226,beta
F7,T6,226,beta
T4,T5,226,beta
C4,F4,226,beta
PZ,F4,226,beta
C3,F4,226,beta
FZ,T6,225,beta
T5,O2,225,beta
O2,F8,225,beta
P4,F8,225,beta
F4,FZ,225,beta
Fp2,F7,225,beta
T6,C3,225,beta
PZ,CZ,225,beta
O1,F4,225,beta
F4,P3,224,beta
T6,T5,224,beta
Fp2,O1,224,beta
T5,CZ,224,beta
C4,F8,224,beta
P4,F3,224,beta
Fp2,P4,224,beta
F7,FZ,224,beta
F7,PZ,224,beta
C4,F7,223,beta
F3,T4,223,beta
F3,O2,223,beta
P3,Fp2,223,beta
T3,C4,223,beta
C3,F3,223,beta
FZ,PZ,223,beta
F3,F4,222,beta
F4,PZ,222,beta
F4,T5,222,beta
P3,Fp1,222,beta
F8,Fp2,222,beta
P3,F8,222,beta
P4,F4,222,beta
T4,Fp2,222,beta
F3,P4,222,beta
T6,Fp1,222,beta
O1,FZ,222,beta
F4,O2,222,beta
F7,O1,222,beta
O1,F7,221,beta
T4,C3,221,beta
F8,T6,221,beta
F8,P3,221,beta
F4,T6,221,beta
P4,CZ,221,beta
PZ,Fp2,221,beta
C3,CZ,221,beta
C4,F3,221,beta
C4,CZ,221,beta
F3,O1,221,beta
PZ,Fp1,221,beta
T3,Fp2,221,beta
T3,Fp1,220,beta
O2,F7,220,beta
FZ,Fp1,220,beta
Fp2,F8,220,beta
P4,F7,220,beta
FZ,T3,220,beta
P4,Fp2,219,beta
F4,P4,219,beta
F3,P3,219,beta
FZ,O1,219,beta
F7,P3,219,beta
C3,F8,219,beta
C3,C4,219,beta
T3,F7,219,beta
O2,F4,218,beta
T5,PZ,218,beta
T4,PZ,218,beta
F4,T3,218,beta
O1,Fp2,218,beta
O2,Fp1,218,beta
T6,O1,217,beta
P3,C4,217,beta
T3,T4,217,beta
FZ,P4,217,beta
T5,T6,217,beta
CZ,FZ,217,beta
O2,Fp2,217,beta
C3,F7,217,beta
O2,T5,217,beta
P3,CZ,217,beta
O1,F3,216,beta
FZ,O2,216,beta
F8,F7,216,beta
O2,F3,216,beta
CZ,PZ,216,beta
C4,Fp2,215,beta
T3,T6,215,beta
T4,CZ,215,beta
F7,T4,215,beta
T6,C4,215,beta
P4,Fp1,214,beta
F4,T4,214,beta
F8,T3,214,beta
T4,P3,214,beta
F4,F3,214,beta
P4,T6,214,beta
F7,T5,213,beta
P3,C3,213,beta
P4,O2,213,beta
O1,Fp1,213,beta
FZ,T4,213,beta
T3,O2,212,beta
F7,C3,212,beta
C3,Fp1,211,beta
FZ,P3,211,beta
P3,Pg2,211,beta
F4,Fp2,211,beta
Fp1,F8,211,beta
T4,O1,211,beta
CZ,P3,211,beta
T6,PZ,211,beta
T5,P4,211,beta
T4,C4,211,beta
CZ,F3,211,beta
FZ,T5,210,beta
CZ,Fp1,210,beta
C4,Fp1,210,beta
T6,P4,210,beta
P4,T4,210,beta
F8,T4,210,beta
Fp1,Pg2,209,beta
T5,C3,209,beta
FZ,Fp2,209,beta
O1,T4,209,beta
T4,O2,208,beta
F7,F8,208,beta
F7,Fp1,208,beta
O2,CZ,208,beta
C4,T6,208,beta
T6,Pg1,208,beta
P3,T6,208,beta
Fp2,Fp1,208,beta
Fp1,Pg1,207,beta
F4,F7,207,beta
C4,P4,207,beta
PZ,C3,207,beta
CZ,F8,207,beta
T6,Pg2,207,beta
P3,O2,207,beta
PZ,O2,206,beta
P3,T5,206,beta
C3,Fp2,206,beta
C4,T3,206,beta
C3,T6,206,beta
Fp1,F7,206,beta
T3,O1,205,beta
T5,Pg2,205,beta
C3,PZ,205,beta
F7,F4,205,beta
T4,P4,205,beta
T5,O1,205,beta
F8,F3,205,beta
O1,T5,204,beta
T5,Pg1,204,beta
P3,PZ,204,beta
C3,T4,204,beta
P3,T4,204,beta
C4,T5,204,beta
C4,T4,203,beta
PZ,O1,203,beta
CZ,P4,203,beta
C4,PZ,203,beta
P3,Pg1,203,beta
PZ,C4,202,beta
