source,target,frequency,band
Pg2,Pg1,254,gamma
Pg1,Pg2,254,gamma
F3,C3,220,gamma
C3,F3,219,gamma
Fp1,C4,218,gamma
Fp1,PZ,215,gamma
PZ,F4,214,gamma
CZ,F8,213,gamma
O1,T5,213,gamma
Fp2,PZ,212,gamma
Fp2,C4,212,gamma
O2,T5,211,gamma
PZ,T5,211,gamma
F4,T4,210,gamma
C4,F8,210,gamma
Fp1,CZ,210,gamma
T5,O1,209,gamma
F4,PZ,209,gamma
PZ,F8,209,gamma
Fp2,F7,209,gamma
F3,C4,209,gamma
T6,F8,208,gamma
PZ,Fp2,208,gamma
O1,C4,208,gamma
C3,Fp1,208,gamma
Fp1,T3,208,gamma
Fp1,C3,208,gamma
FZ,CZ,207,gamma
T4,F4,207,gamma
P3,T5,207,gamma
Fp2,P4,207,gamma
F8,CZ,207,gamma
Fp2,C3,206,gamma
T5,O2,206,gamma
F8,T5,206,gamma
C3,Fp2,206,gamma
T5,F8,206,gamma
T6,T5,206,gamma
T5,T6,205,gamma
FZ,C3,205,gamma
P4,F4,204,gamma
CZ,Pg1,204,gamma
T4,FZ,204,gamma
F4,C3,203,gamma
P3,C4,203,gamma
C4,Fp1,203,gamma
F7,Fp1,203,gamma
T5,T4,203,gamma
P4,Fp2,203,gamma
F3,T5,202,gamma
F3,T3,202,gamma
F8,F7,202,gamma
F8,C4,202,gamma
C4,C3,202,gamma
F4,T5,202,gamma
Fp1,T6,202,gamma
Fp1,F8,202,gamma
PZ,FZ,202,gamma
T5,F4,202,gamma
O2,T6,202,gamma
F4,T3,201,gamma
F4,C4,201,gamma
C3,FZ,201,gamma
Fp2,F8,201,gamma
PZ,F3,201,gamma
C4,Fp2,201,gamma
CZ,Pg2,201,gamma
T4,Pg2,201,gamma
T5,F3,201,gamma
FZ,PZ,201,gamma
P3,F7,201,gamma
Fp1,P3,200,gamma
Fp2,T4,200,gamma
T5,P3,200,gamma
FZ,C4,200,gamma
F3,CZ,200,gamma
Fp1,F7,200,gamma
C3,F8,200,gamma
T3,T6,200,gamma
PZ,Fp1,200,gamma
P4,T6,200,gamma
O1,P3,200,gamma
T6,F4,199,gamma
Fp2,O2,199,gamma
CZ,FZ,199,gamma
PZ,C4,199,gamma
O1,F8,199,gamma
F7,F8,199,gamma
O1,T4,199,gamma
F7,C4,199,gamma
Fp1,FZ,199,gamma
F3,F7,199,gamma
C4,T5,199,gamma
FZ,Fp2,199,gamma
Fp2,FZ,198,gamma
P4,Fp1,198,gamma
F3,PZ,198,gamma
F3,T6,198,gamma
T3,C4,198,gamma
O1,Pg2,198,gamma
Pg1,CZ,198,gamma
T5,C4,198,gamma
F7,Fp2,198,gamma
T4,Pg1,197,gamma
T4,Fp2,197,gamma
F8,Fp2,197,gamma
F8,PZ,197,gamma
T6,T3,197,gamma
T5,PZ,197,gamma
P4,FZ,197,gamma
FZ,P4,197,gamma
F8,P4,197,gamma
T4,O1,197,gamma
T4,T5,197,gamma
C3,C4,197,gamma
O2,Fp2,197,gamma
Fp1,P4,197,gamma
F4,P4,197,gamma
F8,FZ,196,gamma
Fp1,O2,196,gamma
F3,FZ,196,gamma
C4,F3,196,gamma
T4,T6,196,gamma
F7,CZ,196,gamma
CZ,F7,196,gamma
Fp2,T5,196,gamma
O1,Fp1,196,gamma
FZ,T3,196,gamma
FZ,T5,196,gamma
P4,T5,196,gamma
O2,Pg2,196,gamma
T3,T5,196,gamma
T3,C3,196,gamma
F7,F3,196,gamma
F3,O2,195,gamma
FZ,F7,195,gamma
Fp1,F4,195,gamma
P4,F8,195,gamma
C3,T3,195,gamma
P3,T6,195,gamma
F3,P4,195,gamma
F4,T6,195,gamma
FZ,F4,195,gamma
F8,T3,195,gamma
Fp1,T4,195,gamma
F8,O1,195,gamma
F8,C3,195,gamma
Fp2,CZ,195,gamma
P3,F4,195,gamma
C4,PZ,195,gamma
Fp2,T3,195,gamma
FZ,Pg1,195,gamma
PZ,F7,195,gamma
T5,FZ,195,gamma
T5,Fp1,195,gamma
O1,Pg1,195,gamma
CZ,F3,195,gamma
P3,PZ,194,gamma
O2,Pg1,194,gamma
Fp1,O1,194,gamma
CZ,C4,194,gamma
T4,F8,194,gamma
T6,F7,194,gamma
P4,C3,194,gamma
T6,FZ,194,gamma
F3,P3,194,gamma
P3,F8,194,gamma
FZ,Pg2,194,gamma
T3,Fp1,194,gamma
F8,T4,194,gamma
T4,F7,194,gamma
C4,F4,193,gamma
F3,F4,193,gamma
F8,T6,193,gamma
T6,Fp1,193,gamma
CZ,Fp1,193,gamma
Fp2,P3,193,gamma
CZ,Fp2,193,gamma
PZ,P3,193,gamma
T3,Fp2,193,gamma
F7,T3,193,gamma
F3,Fp1,193,gamma
C3,T5,193,gamma
C4,O1,193,gamma
C4,F7,193,gamma
F4,F7,192,gamma
F7,FZ,192,gamma
FZ,F3,192,gamma
T3,Pg2,192,gamma
T6,Fp2,192,gamma
C4,P3,192,gamma
P4,T4,192,gamma
Fp1,F3,192,gamma
Pg2,CZ,192,gamma
C3,F4,192,gamma
O2,F3,192,gamma
O2,Fp1,192,gamma
F4,F8,192,gamma
FZ,T6,192,gamma
T6,P3,192,gamma
FZ,F8,192,gamma
F7,T6,192,gamma
F7,T5,192,gamma
T4,P4,192,gamma
T4,C3,192,gamma
Pg1,C3,192,gamma
Fp2,F4,192,gamma
T4,Fp1,191,gamma
T5,Fp2,191,gamma
T5,Pg2,191,gamma
FZ,Fp1,191,gamma
