source,target,frequency,band
C3,Fp1,254,theta
T4,Fp1,254,theta
T4,Fp2,253,theta
C3,C4,253,theta
CZ,F3,253,theta
F8,C3,253,theta
P3,F3,253,theta
T3,F4,253,theta
CZ,P4,252,theta
F4,C4,252,theta
F4,C3,252,theta
Fp2,PZ,252,theta
Pg2,Fp2,252,theta
FZ,C3,252,theta
O2,T4,252,theta
C4,P4,252,theta
Fp1,F8,252,theta
T6,PZ,252,theta
T3,Fp1,252,theta
C4,F3,252,theta
C3,P4,252,theta
F3,C4,252,theta
T5,PZ,251,theta
F4,Fp2,251,theta
F3,CZ,251,theta
PZ,T6,251,theta
CZ,F7,251,theta
F8,P4,251,theta
T5,F4,251,theta
Fp1,F7,251,theta
P4,C3,251,theta
Fp1,FZ,251,theta
Fp1,F4,251,theta
O1,F4,251,theta
Pg2,Pg1,251,theta
O1,T6,251,theta
F7,Fp1,251,theta
F7,Fp2,251,theta
O2,O1,251,theta
O2,PZ,251,theta
O1,CZ,251,theta
F4,T5,251,theta
T6,F7,251,theta
FZ,Fp2,251,theta
C3,F8,251,theta
C3,F4,251,theta
T3,FZ,251,theta
T6,Fp2,251,theta
T6,F4,251,theta
O2,Fp1,251,theta
C4,C3,251,theta
Pg2,O2,250,theta
F4,P4,250,theta
F3,C3,250,theta
PZ,F8,250,theta
CZ,T5,250,theta
PZ,P3,250,theta
F3,PZ,250,theta
F3,P3,250,theta
F3,O1,250,theta
F3,F4,250,theta
FZ,T3,250,theta
FZ,F7,250,theta
CZ,Fp1,250,theta
CZ,T3,250,theta
CZ,O1,250,theta
CZ,O2,250,theta
PZ,Fp2,250,theta
CZ,P3,250,theta
C3,O1,250,theta
C3,CZ,250,theta
F8,F7,250,theta
F8,T3,250,theta
T5,T3,250,theta
T4,F3,250,theta
T6,T5,250,theta
F4,T3,250,theta
F7,FZ,250,theta
F7,T4,250,theta
O1,F8,250,theta
P3,O2,250,theta
F7,C3,250,theta
F7,F3,250,theta
O2,C4,250,theta
O2,P3,250,theta
P4,C4,250,theta
P4,T4,250,theta
P4,O2,250,theta
P4,F8,250,theta
Fp2,C4,250,theta
Fp2,Fp1,250,theta
Fp1,PZ,250,theta
Fp1,C3,250,theta
T5,F3,249,theta
T5,Fp1,249,theta
PZ,CZ,249,theta
F3,FZ,249,theta
F4,Fp1,249,theta
F3,F7,249,theta
F3,T4,249,theta
F3,Fp1,249,theta
F4,O2,249,theta
PZ,T5,249,theta
CZ,C3,249,theta
P4,F3,249,theta
P4,P3,249,theta
T5,Fp2,249,theta
Fp2,CZ,249,theta
PZ,C3,249,theta
P3,T5,249,theta
FZ,Fp1,249,theta
F7,CZ,249,theta
F7,F8,249,theta
FZ,F3,249,theta
O2,F8,249,theta
O2,F4,249,theta
FZ,P4,249,theta
FZ,O1,249,theta
O1,Fp2,249,theta
CZ,PZ,249,theta
PZ,Fp1,249,theta
FZ,F4,249,theta
C4,T6,249,theta
C4,F4,249,theta
C4,F7,249,theta
P3,P4,249,theta
T5,P3,249,theta
T4,F7,249,theta
T4,F8,249,theta
T4,T5,249,theta
Pg1,Fp2,249,theta
Pg1,Pg2,249,theta
Fp2,FZ,249,theta
Fp1,T4,249,theta
Fp1,T6,249,theta
Fp2,F7,249,theta
T5,CZ,249,theta
T5,F8,249,theta
F8,PZ,249,theta
T3,P3,249,theta
T3,C3,249,theta
T3,O2,249,theta
Fp1,CZ,249,theta
O2,P4,249,theta
C3,FZ,249,theta
P3,PZ,249,theta
C3,Fp2,249,theta
C3,P3,249,theta
C3,PZ,249,theta
Fp2,F3,249,theta
Fp2,O1,249,theta
F3,Fp2,248,theta
T5,FZ,248,theta
T5,F7,248,theta
F8,FZ,248,theta
P4,F7,248,theta
O2,Fp2,248,theta
P4,CZ,248,theta
Fp1,T3,248,theta
Pg2,F3,248,theta
Pg2,P3,248,theta
Pg1,P3,248,theta
Pg2,O1,248,theta
Fp2,T5,248,theta
T4,T3,248,theta
T4,C3,248,theta
F8,T4,248,theta
T3,P4,248,theta
FZ,CZ,248,theta
F8,F4,248,theta
Pg1,O2,248,theta
O2,F7,248,theta
O2,T6,248,theta
T6,T4,248,theta
F4,F8,248,theta
C3,F3,248,theta
P3,FZ,248,theta
P3,T6,248,theta
O2,T3,248,theta
T6,CZ,248,theta
O1,FZ,248,theta
CZ,F8,248,theta
FZ,T4,248,theta
CZ,F4,248,theta
O1,F3,248,theta
FZ,T5,248,theta
P3,C3,248,theta
F7,T5,248,theta
C3,T5,248,theta
F3,T5,248,theta
T3,CZ,248,theta
F8,Fp2,248,theta
F4,PZ,248,theta
T6,C3,248,theta
T6,P3,248,theta
T3,C4,248,theta
PZ,F3,247,theta
PZ,FZ,247,theta
F4,O1,247,theta
F4,P3,247,theta
F4,F3,247,theta
Fp1,F3,247,theta
F3,P4,247,theta
PZ,P4,247,theta
P4,FZ,247,theta
F3,F8,247,theta
P4,F4,247,theta
P4,Fp1,247,theta
PZ,F7,247,theta
O1,Fp1,247,theta
P3,T3,247,theta
F7,O2,247,theta
P3,C4,247,theta
P3,F8,247,theta
F7,T6,247,theta
C4,P3,247,theta
P3,Fp1,247,theta
P3,F4,247,theta
CZ,T6,247,theta
CZ,T4,247,theta
FZ,PZ,247,theta
FZ,P3,247,theta
F4,CZ,247,theta
C3,F7,247,theta
C3,O2,247,theta
C3,T4,247,theta
P3,CZ,247,theta
T6,T3,247,theta
F7,F4,247,theta
O2,CZ,247,theta
F8,Pg1,247,theta
F8,Pg2,247,theta
T6,C4,247,theta
T6,P4,247,theta
F8,O1,247,theta
F8,O2,247,theta
F8,F3,247,theta
F8,C4,247,theta
T5,C3,247,theta
T5,T6,247,theta
F8,P3,247,theta
T5,T4,247,theta
F8,Fp1,247,theta
F8,CZ,247,theta
Pg2,F4,247,theta
Pg1,T5,247,theta
F4,F7,247,theta
Fp2,F4,247,theta
Pg1,F4,247,theta
Fp1,T5,247,theta
Pg1,F3,247,theta
Fp2,T4,247,theta
Fp1,O2,247,theta
Fp2,P4,247,theta
CZ,C4,246,theta
Pg2,F7,246,theta
Fp2,O2,246,theta
Pg1,C4,246,theta
Pg2,T3,246,theta
Fp2,T3,246,theta
Pg1,T3,246,theta
Pg1,O1,246,theta
C4,Fp2,246,theta
FZ,F8,246,theta
F3,O2,246,theta
CZ,FZ,246,theta
O1,C3,246,theta
O1,P4,246,theta
PZ,F4,246,theta
PZ,O2,246,theta
F3,T6,246,theta
F3,Pg1,246,theta
P4,Fp2,246,theta
O1,T5,246,theta
O1,O2,246,theta
O2,F3,246,theta
F4,T6,246,theta
F4,T4,246,theta
F8,T5,246,theta
O1,PZ,246,theta
F7,C4,246,theta
F7,PZ,246,theta
O2,FZ,246,theta
T3,T4,246,theta
T5,Pg1,246,theta
F7,Pg2,246,theta
T4,FZ,246,theta
T3,F7,246,theta
T4,O2,246,theta
T4,T6,246,theta
T4,P4,246,theta
Pg2,T5,245,theta
CZ,Fp2,245,theta
C4,O1,245,theta
P3,T4,245,theta
T4,F4,245,theta
T3,Pg2,245,theta
O2,T5,245,theta
O2,C3,245,theta
C4,O2,245,theta
PZ,O1,245,theta
PZ,C4,245,theta
Fp2,Pg2,245,theta
Fp2,Pg1,245,theta
Fp1,Fp2,245,theta
C4,T3,245,theta
P4,T6,245,theta
P4,PZ,245,theta
C3,T6,245,theta
Pg1,F8,245,theta
Fp1,P4,245,theta
Fp2,F8,245,theta
Pg1,C3,245,theta
Pg1,FZ,245,theta
Pg2,T4,245,theta
Pg2,F8,245,theta
Fp2,P3,245,theta
F4,FZ,245,theta
F8,T6,245,theta
T5,P4,245,theta
Pg1,T4,244,theta
Pg1,Fp1,244,theta
Fp2,T6,244,theta
Pg2,PZ,244,theta
PZ,T4,244,theta
Fp1,P3,244,theta
F3,Pg2,244,theta
P4,T5,244,theta
C4,Pg1,244,theta
P4,T3,244,theta
P3,Fp2,244,theta
O1,P3,244,theta
T3,F3,244,theta
T3,O1,244,theta
T6,O2,244,theta
F7,P4,244,theta
F7,T3,244,theta
T3,Fp2,244,theta
T3,PZ,244,theta
Pg2,Fp1,244,theta
Fp2,C3,244,theta
T6,O1,244,theta
P3,F7,244,theta
T6,F3,244,theta
C4,PZ,244,theta
T3,Pg1,244,theta
F3,T3,243,theta
Fp1,C4,243,theta
P3,O1,243,theta
C4,FZ,243,theta
Pg2,FZ,243,theta
Pg2,P4,243,theta
Pg2,C3,243,theta
Pg2,C4,243,theta
Pg1,CZ,243,theta
FZ,O2,243,theta
T3,T6,243,theta
C3,T3,243,theta
T5,O1,243,theta
T3,F8,243,theta
T4,PZ,243,theta
T3,T5,243,theta
P4,O1,243,theta
O1,C4,243,theta
