source,target,frequency,band
F3,F8,254,delta
PZ,O2,254,delta
F4,CZ,254,delta
C4,Fp1,254,delta
CZ,Fp2,254,delta
F4,FZ,254,delta
O2,T3,254,delta
FZ,F7,254,delta
FZ,T4,254,delta
C4,T3,254,delta
T5,F8,254,delta
O2,O1,254,delta
F7,T4,254,delta
O2,F3,254,delta
F8,F7,254,delta
F7,CZ,254,delta
Fp1,C4,254,delta
F7,F8,254,delta
T4,F7,254,delta
O2,T5,254,delta
T4,PZ,254,delta
C3,F3,253,delta
Pg2,Pg1,253,delta
T5,PZ,253,delta
O2,T4,253,delta
T4,T5,253,delta
T5,P4,253,delta
F4,F8,253,delta
P3,C4,253,delta
CZ,T5,253,delta
F4,F7,253,delta
Fp2,FZ,253,delta
F3,F4,253,delta
F4,C4,253,delta
C3,F8,253,delta
Fp2,CZ,253,delta
PZ,C3,253,delta
F4,O1,253,delta
Fp1,C3,253,delta
Fp1,F4,253,delta
F7,F3,253,delta
T4,Fp1,253,delta
FZ,F3,253,delta
C4,F4,253,delta
C4,P3,253,delta
FZ,O2,253,delta
C4,F3,253,delta
P4,F8,253,delta
T5,CZ,253,delta
T3,O2,253,delta
T3,T4,253,delta
F8,F4,253,delta
F8,C4,253,delta
T3,C4,253,delta
F3,FZ,253,delta
F3,O1,253,delta
PZ,CZ,253,delta
Fp2,PZ,253,delta
Fp1,FZ,253,delta
Fp1,T4,253,delta
Fp1,T5,253,delta
Fp2,C4,253,delta
CZ,F4,252,delta
F3,T4,252,delta
Fp2,T6,252,delta
Fp2,T5,252,delta
P3,C3,252,delta
P3,F8,252,delta
CZ,PZ,252,delta
CZ,F3,252,delta
T5,F3,252,delta
PZ,FZ,252,delta
Pg1,T5,252,delta
PZ,T6,252,delta
Fp2,T4,252,delta
Fp1,F8,252,delta
Fp1,PZ,252,delta
Fp2,F4,252,delta
Fp1,F3,252,delta
Fp1,T6,252,delta
Pg2,T4,252,delta
Pg2,P4,252,delta
Pg2,C4,252,delta
Fp2,O2,252,delta
F7,F4,252,delta
Fp2,F7,252,delta
T3,F3,252,delta
T3,T5,252,delta
O2,Fp1,252,delta
O2,C4,252,delta
T4,F8,252,delta
O2,T6,252,delta
O2,FZ,252,delta
T5,O1,252,delta
T4,O1,252,delta
T5,O2,252,delta
P3,CZ,252,delta
T4,CZ,252,delta
FZ,P3,252,delta
PZ,F3,252,delta
FZ,PZ,252,delta
C3,O2,252,delta
CZ,T4,252,delta
F3,T5,252,delta
F4,O2,252,delta
CZ,FZ,252,delta
PZ,P3,252,delta
PZ,T4,252,delta
F4,Fp2,252,delta
F4,F3,252,delta
F3,PZ,252,delta
F3,Fp2,252,delta
C3,C4,252,delta
C3,P3,252,delta
F8,PZ,252,delta
Fp2,F8,252,delta
T3,CZ,252,delta
T4,O2,252,delta
F8,P4,252,delta
F8,Fp2,252,delta
F8,O2,252,delta
F8,T6,252,delta
T6,P3,252,delta
T6,P4,252,delta
T6,O1,252,delta
P4,CZ,252,delta
FZ,Fp2,252,delta
T6,T5,252,delta
C4,F8,252,delta
F3,CZ,251,delta
Pg1,T3,251,delta
F4,P3,251,delta
PZ,F8,251,delta
F4,Fp1,251,delta
PZ,T5,251,delta
Pg1,C3,251,delta
Pg1,F4,251,delta
Pg1,Fp1,251,delta
P3,F3,251,delta
P3,T6,251,delta
P3,O1,251,delta
P3,O2,251,delta
CZ,C3,251,delta
CZ,Fp1,251,delta
PZ,C4,251,delta
CZ,T3,251,delta
C3,Fp1,251,delta
F4,T5,251,delta
F3,C4,251,delta
F3,P4,251,delta
F3,F7,251,delta
F3,Fp1,251,delta
C3,F4,251,delta
C3,P4,251,delta
FZ,T3,251,delta
FZ,F8,251,delta
C4,O2,251,delta
C4,C3,251,delta
C4,FZ,251,delta
C4,T4,251,delta
C4,Fp2,251,delta
FZ,C4,251,delta
T6,F4,251,delta
T6,FZ,251,delta
T6,T3,251,delta
T6,F8,251,delta
O1,F3,251,delta
P4,T3,251,delta
P4,FZ,251,delta
P4,C3,251,delta
O2,F4,251,delta
T5,F4,251,delta
T4,P3,251,delta
T4,P4,251,delta
P4,P3,251,delta
P4,O2,251,delta
T5,F7,251,delta
T4,T6,251,delta
T5,FZ,251,delta
T5,T3,251,delta
P4,F3,251,delta
P3,PZ,251,delta
O2,P3,251,delta
O2,F8,251,delta
T3,F8,251,delta
T3,T6,251,delta
F8,F3,251,delta
T3,C3,251,delta
T3,P3,251,delta
F8,P3,251,delta
O1,T5,251,delta
O2,Fp2,251,delta
F7,T5,251,delta
Pg2,P3,251,delta
Fp2,O1,251,delta
Pg2,Fp2,251,delta
Pg1,Pg2,251,delta
F7,Fp2,251,delta
P3,T3,251,delta
P3,T5,251,delta
Fp2,F3,251,delta
Fp1,O2,251,delta
Fp2,Fp1,250,delta
Fp2,P3,250,delta
Pg2,F3,250,delta
Pg2,F4,250,delta
Pg2,C3,250,delta
Pg2,T3,250,delta
T4,C4,250,delta
O2,C3,250,delta
O2,CZ,250,delta
O1,PZ,250,delta
T3,Fp2,250,delta
T3,F4,250,delta
T3,FZ,250,delta
T4,F4,250,delta
F8,FZ,250,delta
F8,CZ,250,delta
F8,T4,250,delta
F8,T3,250,delta
F7,T6,250,delta
F7,C4,250,delta
F7,C3,250,delta
T3,F7,250,delta
C3,T5,250,delta
C3,T6,250,delta
F3,C3,250,delta
Pg2,PZ,250,delta
O2,P4,250,delta
FZ,CZ,250,delta
CZ,P3,250,delta
CZ,O2,250,delta
CZ,F7,250,delta
T6,Fp1,250,delta
T6,T4,250,delta
FZ,O1,250,delta
FZ,T5,250,delta
P3,Fp2,250,delta
P3,F7,250,delta
P3,P4,250,delta
FZ,F4,250,delta
P3,T4,250,delta
C4,PZ,250,delta
C4,T5,250,delta
O1,P3,250,delta
P4,Fp2,250,delta
P4,C4,250,delta
P4,F7,250,delta
Fp1,Fp2,250,delta
C3,T3,250,delta
C3,T4,250,delta
F4,T4,250,delta
C3,CZ,250,delta
C3,FZ,250,delta
C3,F7,250,delta
Pg1,T4,250,delta
Pg1,P3,250,delta
Pg1,O2,250,delta
F3,O2,250,delta
F3,T6,250,delta
FZ,T6,250,delta
P4,F4,250,delta
T5,T6,250,delta
P4,Fp1,250,delta
P4,T6,250,delta
O1,C4,250,delta
O1,Fp1,250,delta
P4,PZ,250,delta
O1,Fp2,250,delta
T5,P3,250,delta
T4,FZ,250,delta
T4,T3,250,delta
T5,C3,250,delta
O1,T6,249,delta
O1,FZ,249,delta
T3,Fp1,249,delta
Fp1,O1,249,delta
Pg2,O2,249,delta
Fp1,F7,249,delta
Fp2,C3,249,delta
O2,PZ,249,delta
T3,O1,249,delta
T3,PZ,249,delta
T4,C3,249,delta
F8,Fp1,249,delta
F7,PZ,249,delta
F8,C3,249,delta
O1,O2,249,delta
F7,Fp1,249,delta
Pg2,O1,249,delta
Pg2,T5,249,delta
Pg2,FZ,249,delta
F4,T3,249,delta
CZ,F8,249,delta
C3,Fp2,249,delta
CZ,O1,249,delta
PZ,Fp1,249,delta
T6,PZ,249,delta
PZ,P4,249,delta
F3,T3,249,delta
Pg2,CZ,249,delta
T5,Fp2,249,delta
T4,F3,249,delta
T3,P4,249,delta
F4,T6,249,delta
F4,PZ,249,delta
C3,O1,249,delta
Pg1,F8,249,delta
C4,P4,249,delta
C4,CZ,249,delta
FZ,Fp1,249,delta
T6,C4,249,delta
FZ,C3,249,delta
O1,F4,249,delta
P4,O1,249,delta
F4,C3,249,delta
Pg1,C4,249,delta
Pg1,F7,249,delta
T6,F3,249,delta
P4,T5,249,delta
T5,T4,249,delta
T5,Fp1,249,delta
T6,C3,248,delta
Pg1,P4,248,delta
T4,Fp2,248,delta
O2,F7,248,delta
Pg1,PZ,248,delta
Fp2,T3,248,delta
Fp1,P3,248,delta
Fp1,CZ,248,delta
F7,P3,248,delta
PZ,T3,248,delta
CZ,T6,248,delta
CZ,P4,248,delta
Pg1,Fp2,248,delta
Pg1,O1,248,delta
PZ,F7,248,delta
PZ,O1,248,delta
F3,P3,248,delta
C3,PZ,248,delta
C4,T6,248,delta
C4,O1,248,delta
P3,FZ,248,delta
C4,F7,248,delta
T5,C4,248,delta
F8,O1,248,delta
F7,FZ,248,delta
O1,F8,248,delta
O1,F7,248,delta
O1,T3,248,delta
O1,CZ,248,delta
F8,T5,248,delta
F7,O2,248,delta
F7,T3,247,delta
O1,P4,247,delta
Fp1,P4,247,delta
Pg1,CZ,247,delta
Pg1,T6,247,delta
PZ,Fp2,247,delta
Pg2,F8,247,delta
F7,O1,247,delta
P3,F4,247,delta
T6,CZ,247,delta
T6,Fp2,247,delta
Pg1,F3,247,delta
F4,P4,247,delta
Pg1,FZ,247,delta
PZ,F4,247,delta
P4,T4,246,delta
CZ,C4,246,delta
P3,Fp1,246,delta
O1,C3,246,delta
Fp2,P4,246,delta
Pg2,Fp1,246,delta
F7,P4,246,delta
T6,O2,246,delta
T6,F7,245,delta
FZ,P4,245,delta
O1,T4,245,delta
Fp1,T3,245,delta
Pg2,F7,244,delta
Pg2,T6,243,delta
F3,Pg2,240,delta
C4,Pg2,240,delta
Fp2,Pg2,238,delta
CZ,Pg2,237,delta
T4,Pg1,237,delta
F7,Pg2,237,delta
T5,Pg1,237,delta
FZ,Pg2,236,delta
T3,Pg2,236,delta
F8,Pg2,235,delta
C3,Pg2,235,delta
F3,Pg1,235,delta
FZ,Pg1,235,delta
CZ,Pg1,235,delta
Fp1,Pg2,234,delta
F4,Pg2,234,delta
P3,Pg1,233,delta
F4,Pg1,233,delta
PZ,Pg1,233,delta
Fp2,Pg1,233,delta
T4,Pg2,233,delta
T3,Pg1,232,delta
C3,Pg1,231,delta
P4,Pg1,231,delta
Fp1,Pg1,231,delta
C4,Pg1,231,delta
F8,Pg1,231,delta
P3,Pg2,230,delta
O1,Pg1,229,delta
T5,Pg2,229,delta
PZ,Pg2,229,delta
O1,Pg2,228,delta
F7,Pg1,228,delta
O2,Pg2,227,delta
O2,Pg1,227,delta
P4,Pg2,227,delta
T6,Pg1,225,delta
T6,Pg2,222,delta
