Channel,Out,In,Total
Fp2,18,18,36
F3,18,18,36
P3,18,18,36
CZ,18,18,36
C4,18,18,36
F7,18,18,36
P4,18,18,36
T4,18,18,36
Fp1,18,17,35
F4,17,18,35
C3,18,17,35
PZ,18,17,35
O1,17,18,35
T6,17,18,35
T5,17,18,35
O2,16,18,34
FZ,18,16,34
T3,16,17,33
F8,17,15,32
