,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,0.9999999999999999,0.9522671944889892,0.9421067870131925,0.8740974227542025,0.5435137000565845,0.5137629170368117,0.20016389070698332,0.2549402255839901,0.22136173299879663,0.12597580757587257,0.8098715554109351,0.7498320649460521,0.11747952334289637,0.06516279123224715,-0.09556822343898042,-0.05257509538045828,0.9476787260569232,0.5819445864530776,0.2827447010224741
Fp2,0.9522671944889892,1.0,0.877490885576223,0.9444627212458785,0.49790588355935217,0.5905580335146012,0.22044777147112468,0.31186285002213654,0.27303658487969523,0.16562307215454336,0.7110065500414718,0.8608808253935754,0.06082953001819481,0.15104970322909012,-0.0935034097201964,-0.021661495244923154,0.9495034045708463,0.5702221699362412,0.31170717397807024
F3,0.9421067870131925,0.8774908855762231,1.0,0.8490705151503424,0.6859611883103672,0.5313544524823299,0.24634337061406436,0.24920816630511047,0.1972573418181735,0.11369817274158327,0.8421650502279968,0.7075187617425622,0.20408070537209283,0.06815507765129544,-0.07820990347927757,-0.05975756185238932,0.9079596518340297,0.6454541417749897,0.31636398904249063
F4,0.8740974227542027,0.9444627212458785,0.8490705151503424,1.0,0.48257267461711967,0.6580217482026338,0.18320821832839587,0.28980069389055557,0.211490502355034,0.09178017358492271,0.699983740843058,0.9372376711022627,0.022388083297337807,0.21817928661890945,-0.12580097159152023,-0.0013531938263800377,0.8756257788767582,0.4799218466274711,0.2416038142125086
C3,0.5435137000565845,0.4979058835593522,0.6859611883103672,0.4825726746171196,1.0,0.5845138173823591,0.7082107197090023,0.5358794631750918,0.44276646859447855,0.3613650996897563,0.6043102410019964,0.3458054593772175,0.6042276288947731,0.2553213334899284,0.3626024316709324,0.20380632559879616,0.5961619173420125,0.7261052127690976,0.6714460886860778
C4,0.5137629170368117,0.5905580335146012,0.5313544524823299,0.6580217482026338,0.5845138173823592,1.0,0.5739399063237466,0.7963071613413714,0.40687128836070563,0.5010843925544974,0.4542716980165614,0.6148074019884797,0.2593363987016641,0.6522102981243907,0.22496519232372195,0.5001452675045815,0.5797100789961955,0.5974401612632972,0.6807014452435601
P3,0.20016389070698334,0.22044777147112468,0.2463433706140644,0.18320821832839587,0.7082107197090022,0.5739399063237466,1.0,0.7429943642186941,0.8001769574165636,0.7509602960172647,0.15801276779562579,0.1051213229249087,0.5353428975310509,0.4294866389527846,0.741175347255587,0.546215178243081,0.31080799702861023,0.6892638441058282,0.895990295753068
P4,0.25494022558399015,0.3118628500221365,0.2492081663051105,0.28980069389055557,0.5358794631750918,0.7963071613413714,0.742994364218694,1.0,0.6174107826893924,0.7797915648872614,0.20019110318170086,0.25432188815548956,0.39763615369295097,0.6393558103789375,0.4818859394672003,0.7005230755506748,0.34913599028592107,0.6086274009045363,0.8742324366876274
O1,0.22136173299879663,0.27303658487969523,0.19725734181817353,0.211490502355034,0.4427664685944786,0.40687128836070563,0.8001769574165636,0.6174107826893924,0.9999999999999999,0.8399688937672994,0.0025470613713291703,0.11574537278919336,0.40654751487216895,0.2761520063516851,0.7323491682386506,0.5561399829484799,0.34117096024264526,0.6070650413458751,0.746677697015851
O2,0.12597580757587257,0.1656230721545434,0.11369817274158327,0.09178017358492273,0.3613650996897563,0.5010843925544974,0.7509602960172648,0.7797915648872614,0.8399688937672994,0.9999999999999999,-0.015346454312340602,0.02352888594804637,0.39320455471964444,0.41153454709107823,0.635626049568891,0.7844054697839556,0.20845209703439585,0.5858077146923916,0.7912273077145288
F7,0.8098715554109351,0.7110065500414718,0.8421650502279968,0.699983740843058,0.6043102410019965,0.4542716980165615,0.15801276779562579,0.20019110318170086,0.0025470613713291703,-0.015346454312340602,1.0,0.6297090215100437,0.3360270393465076,0.004154678270906591,-0.18455570218151898,-0.1678383514522538,0.676777379807436,0.39350227390545767,0.2066869119799527
F8,0.7498320649460523,0.8608808253935754,0.7075187617425623,0.9372376711022627,0.34580545937721757,0.6148074019884797,0.1051213229249087,0.2543218881554895,0.11574537278919336,0.023528885948046373,0.6297090215100437,1.0,-0.030289759430947156,0.34212376062335514,-0.22767503750468748,-0.012596468300197393,0.7217943327200154,0.3127613217467211,0.15193024256430848
