Channel,Out,In,Total
Fp1,18,18,36
Fp2,18,18,36
F3,18,18,36
F4,18,18,36
C3,18,18,36
C4,18,18,36
O1,18,18,36
F7,18,18,36
CZ,18,18,36
T3,18,18,36
F8,18,18,36
FZ,18,18,36
O2,17,18,35
P3,17,18,35
P4,18,17,35
T5,18,17,35
T4,17,18,35
PZ,18,16,34
T6,16,17,33
