Channel,Out-degree,In-degree,Total_degree
Fp1,18,18,36
F3,18,18,36
F4,18,18,36
T6,18,18,36
C3,18,18,36
C4,18,18,36
P3,18,18,36
P4,18,18,36
O1,18,18,36
O2,18,18,36
F8,18,18,36
CZ,18,18,36
T3,18,18,36
T4,18,18,36
T5,18,18,36
PZ,18,18,36
FZ,18,18,36
Fp2,18,17,35
F7,17,18,35
