Source,Target,F-statistic,p-value
F3,FZ,3389.4656386210554,0.0
FZ,F3,1876.0591397130752,0.0
F8,T4,1800.750230132158,0.0
F3,T4,1219.2664845942484,0.0
F8,FZ,970.6606240898409,5.916956340042671e-210
F4,T4,906.013494099607,0.0
P4,T4,901.2282533198477,0.0
F8,T3,823.2626000539165,8.732372165658156e-179
P4,T3,802.5601377171095,2.1409649763245767e-174
T4,F8,746.6215827800489,1.218907e-317
F8,C4,738.9258384953455,1.9049570235e-314
F3,C4,687.3164720968101,5.457718626712518e-293
P3,T3,675.0208886618682,2.735454066062813e-147
T6,T4,662.727427323592,9.62756489197265e-283
O1,T4,661.950433083231,1.6645795734256404e-144
T5,T3,628.3353318618488,2.4407266010441474e-137
F3,CZ,602.0323796466441,2.1909989924064762e-257
T4,F3,590.8630297091531,1.0400727245507607e-252
FZ,F8,578.0955335071789,1.2965478597030859e-126
T5,T4,558.3894290379423,4.276902699143535e-239
P3,T4,550.8173015938438,6.448647448583879e-236
P4,C4,549.8052018116748,1.7155347587393253e-235
O1,CZ,516.5386826772633,1.9003592477021123e-113
O1,T3,511.5639192935941,2.208365285161773e-112
F4,C4,509.0557500806904,2.3158720769909727e-218
O2,T4,484.5611694373227,4.810009540956749e-208
F8,CZ,458.8227573461418,3.467607873243698e-197
T4,F4,455.03784064688017,1.3745138575727266e-195
Fp1,CZ,448.751130181106,6.455765346949733e-99
PZ,T4,445.3910736351065,1.6330594029919713e-191
F7,T4,440.3222587731456,2.264948625273992e-189
Fp2,T4,434.6092792565083,5.890165957208418e-187
P4,FZ,427.3598195707009,2.5274956050303663e-94
PZ,T3,420.77782199748776,6.554933147597101e-93
C4,F8,414.35513305170326,1.5723597128081725e-91
F4,FZ,405.7402658343388,9.702649062472654e-175
O2,T3,403.2992958729703,3.739196160603929e-89
C4,P4,400.83527796479984,1.2661947275868394e-88
F8,F4,399.3241264423917,2.6754476729129136e-88
F4,CZ,398.488976572769,1.145151834339741e-171
F3,T3,396.2999272613205,9.69415505874143e-171
