source,target,consistency
F3,FZ,0.9956140350877193
FZ,F3,0.9912280701754386
F3,Fp2,0.9298245614035088
FZ,Fp1,0.8771929824561403
Fp2,F3,0.8289473684210527
Fp1,FZ,0.8026315789473685
FZ,Fp2,0.8026315789473685
F4,F8,0.7719298245614035
FZ,F4,0.7543859649122807
F4,FZ,0.7324561403508771
Fp2,F8,0.7324561403508771
FZ,F8,0.7324561403508771
F3,Fp1,0.7236842105263158
Fp2,FZ,0.7192982456140351
F4,F3,0.7017543859649122
PZ,P4,0.6973684210526315
Fp2,Fp1,0.6929824561403509
C4,F8,0.6842105263157895
F8,F7,0.6754385964912281
CZ,PZ,0.6754385964912281
P3,P4,0.6710526315789473
F3,F4,0.6666666666666666
PZ,CZ,0.6666666666666666
F8,FZ,0.6622807017543859
T6,T4,0.6622807017543859
T5,T3,0.6578947368421053
C4,C3,0.6578947368421053
P4,C4,0.6535087719298246
CZ,C4,0.6447368421052632
F4,Fp1,0.6447368421052632
F4,Fp2,0.6447368421052632
C4,F4,0.6447368421052632
T3,T5,0.6403508771929824
F7,T3,0.6403508771929824
F8,T4,0.6403508771929824
C3,T3,0.6403508771929824
P3,T3,0.6403508771929824
Fp1,F3,0.6359649122807017
C4,F3,0.631578947368421
Fp1,F7,0.631578947368421
P4,T3,0.631578947368421
T4,F8,0.631578947368421
CZ,F3,0.631578947368421
PZ,C4,0.6271929824561403
P4,T4,0.6228070175438597
T5,FZ,0.6228070175438597
Fp2,F4,0.6228070175438597
T4,T6,0.6228070175438597
T4,T3,0.618421052631579
C4,Fp1,0.618421052631579
C3,C4,0.618421052631579
T4,F7,0.6140350877192983
Fp1,Fp2,0.6096491228070176
T6,T3,0.6096491228070176
F3,F7,0.6096491228070176
F8,T5,0.6096491228070176
T5,F3,0.6096491228070176
FZ,C4,0.6096491228070176
T5,F8,0.6096491228070176
T6,P4,0.6052631578947368
FZ,F7,0.6052631578947368
Fp2,F7,0.6052631578947368
T3,F7,0.6008771929824561
F3,T5,0.6008771929824561
Fp1,F8,0.6008771929824561
F4,C4,0.6008771929824561
F7,T5,0.5964912280701754
F3,C4,0.5964912280701754
F3,CZ,0.5964912280701754
F3,F8,0.5964912280701754
P4,PZ,0.5964912280701754
P4,P3,0.5964912280701754
F8,T3,0.5964912280701754
CZ,C3,0.5964912280701754
T5,CZ,0.5964912280701754
Fp2,C4,0.5921052631578947
F4,CZ,0.5921052631578947
T4,O2,0.5921052631578947
Fp1,CZ,0.5921052631578947
Fp1,F4,0.5921052631578947
T4,FZ,0.5877192982456141
T5,O1,0.5877192982456141
T5,P3,0.5877192982456141
T6,C4,0.5877192982456141
T5,Fp1,0.5877192982456141
Fp2,O1,0.5877192982456141
P3,C3,0.5877192982456141
P3,PZ,0.5877192982456141
C4,FZ,0.5877192982456141
F8,Fp1,0.5877192982456141
F8,T6,0.5877192982456141
F8,O2,0.5833333333333334
T5,Fp2,0.5833333333333334
P4,T5,0.5833333333333334
P3,C4,0.5789473684210527
T5,T6,0.5789473684210527
F4,T3,0.5789473684210527
O1,FZ,0.5789473684210527
P4,CZ,0.5745614035087719
P3,CZ,0.5745614035087719
T3,P3,0.5745614035087719
T5,P4,0.5745614035087719
FZ,CZ,0.5745614035087719
T4,P4,0.5745614035087719
F3,O1,0.5745614035087719
T4,Fp1,0.5745614035087719
Fp2,T3,0.5701754385964912
F4,F7,0.5701754385964912
Fp1,T3,0.5701754385964912
CZ,FZ,0.5701754385964912
PZ,T3,0.5701754385964912
PZ,P3,0.5701754385964912
T6,CZ,0.5701754385964912
O1,CZ,0.5701754385964912
T4,Fp2,0.5657894736842105
C4,P4,0.5657894736842105
Fp2,T5,0.5657894736842105
T5,PZ,0.5657894736842105
CZ,F4,0.5657894736842105
T6,F3,0.5657894736842105
T6,T5,0.5657894736842105
F8,O1,0.5657894736842105
Fp1,O1,0.5614035087719298
O1,PZ,0.5614035087719298
Fp1,C4,0.5614035087719298
T4,F3,0.5614035087719298
F7,CZ,0.5614035087719298
F7,F4,0.5614035087719298
T3,T6,0.5614035087719298
CZ,Fp1,0.5570175438596491
F8,Fp2,0.5570175438596491
T4,C3,0.5570175438596491
T3,T4,0.5570175438596491
C4,PZ,0.5570175438596491
F3,T3,0.5570175438596491
Fp1,T5,0.5570175438596491
C4,P3,0.5526315789473685
T4,F4,0.5526315789473685
F7,FZ,0.5526315789473685
F7,F8,0.5526315789473685
CZ,Fp2,0.5526315789473685
