Source,Target,F-stat,p-value
F3,FZ,2565.5933964659334,0.0
C3,CZ,2030.3552678691397,0.0
C3,FZ,1882.7397615129373,0.0
FZ,F3,1802.7600901741403,0.0
F4,FZ,1581.365558358369,0.0
CZ,C3,1525.6708429943005,0.0
F8,FZ,1456.1911679046466,3.121210785e-315
O1,FZ,1296.4378954118472,3.2564860643463295e-281
O1,CZ,1257.7892891184085,5.689796755532602e-273
T4,FZ,1253.614956290183,4.4220224472481724e-272
FZ,C3,1186.9751631641348,7.4096304435279135e-258
T3,FZ,1172.289823341629,1.0146455995810031e-254
Fp2,FZ,1096.6199272355132,1.5109320354902016e-238
F7,FZ,1063.5954614170164,1.751836055831514e-231
C4,FZ,1058.889442784472,1.7801246155538575e-230
CZ,O1,1053.5736425896796,2.443274118221371e-229
FZ,F4,1053.3874863043077,2.677991912783389e-229
P3,PZ,1040.621129074535,1.445636244621898e-226
T5,FZ,1039.0037234164645,3.2081464180951766e-226
C3,C4,974.8584856392964,1.7505682371336202e-212
FZ,F8,972.4418631261849,5.767360021565103e-212
C3,PZ,951.3482024770085,1.911832685682369e-207
F8,CZ,945.642193563772,3.195459179898853e-206
P3,FZ,945.556505505788,3.33350687008536e-206
C3,F3,943.2786295447796,1.0261140798863763e-205
FZ,O1,939.0594867637246,8.235193434063867e-205
P4,PZ,893.1142747671519,5.876072467206494e-195
T3,CZ,889.5275808552618,3.456149826125261e-194
C4,CZ,882.7456196590591,9.857011727203008e-193
P3,CZ,850.1701111601476,9.669834935639208e-186
Fp1,FZ,849.1343404317296,1.6135640417416035e-185
FZ,T3,846.5071422348113,5.91329747381257e-185
T5,CZ,803.3464512637192,1.1005039837404264e-175
F3,CZ,762.668007116229,6.08393674607179e-167
CZ,F8,745.6944044885295,2.715610029610389e-163
P4,FZ,744.9900339586493,3.848965257636294e-163
P4,O2,735.7765730041473,3.688785632522671e-161
F4,CZ,729.3789751962008,8.76986289036909e-160
CZ,T3,719.4703040056877,1.1874486622112303e-157
FZ,CZ,709.3206738619725,1.4218320243543652e-305
T6,FZ,682.8443232861678,9.055468614125826e-150
FZ,T4,681.2405380263557,2.005271379407978e-149
PZ,P3,676.0931157009609,2.572593925723198e-148
P4,CZ,645.2665842071244,1.1196897998837662e-141
C3,F8,643.1772112396521,3.156358165282489e-141
PZ,P4,628.8293568445849,3.894114094148495e-138
CZ,T5,612.4636025736764,1.310144047823301e-134
C4,C3,611.7101313385696,1.904234237103157e-134
O1,PZ,596.0523020826089,4.519112429958128e-131
F7,CZ,586.133021488865,6.220361123581412e-129
O1,C4,567.3694337402358,6.927613901957901e-125
FZ,C4,560.3533135404404,2.2599915672731583e-123
T4,CZ,554.0637126832611,5.141221573341011e-122
Fp1,CZ,553.1694658721203,8.01695435865152e-122
CZ,P3,547.8410019065626,1.1317372650253114e-120
PZ,C3,523.099915855536,2.475421848751303e-115
CZ,C4,520.4472358203587,9.253889835004897e-115
CZ,FZ,514.8286207115607,1.2840447245183462e-222
C3,Fp2,505.4282886266012,1.618924399224e-111
C3,O2,492.63766723168146,9.369206915064162e-109
P3,O2,491.1881572115707,1.92666015048949e-108
T4,O2,489.525639977618,8.623616983768742e-212
CZ,F3,487.58925179455235,1.1540534216417595e-107
O2,PZ,486.3686612606765,1.936957344867706e-210
FZ,Fp1,484.04812966973907,6.717633710601786e-107
O2,T4,479.40865150378824,1.8491995161580795e-207
FZ,P4,466.59597336382325,3.964330077655088e-103
C4,O1,458.50628153725205,2.221110941638315e-101
O2,F8,454.8320098104177,6.224673047044934e-197
CZ,P4,448.9687281488472,2.560040625283198e-99
CZ,F4,437.53041648577937,7.608695363551894e-97
FZ,Fp2,433.10173020607436,1.283430958083885e-187
CZ,F7,432.41239954456984,9.728652321463198e-96
FZ,T5,432.35447523922073,2.6839498323636486e-187
C3,P3,431.73342839574946,1.3642215867218787e-95
FZ,F7,428.57249321800055,1.1232842999113335e-185
