Channel,Out,In,Total
Fp1,18,18,36
Fp2,18,18,36
F4,18,18,36
CZ,18,18,36
C4,18,18,36
O2,18,18,36
O1,18,18,36
F7,18,18,36
FZ,18,18,36
T3,18,18,36
F8,18,18,36
T6,18,18,36
PZ,18,18,36
T4,18,17,35
C3,18,17,35
F3,16,18,34
P3,17,17,34
P4,16,18,34
T5,18,16,34
