Channel,Participation_Coefficient
Fp1,0.3484520437070795
Fp2,0.3393917959457895
F3,0.42159552743268314
F4,0.3864866425159975
C3,0.4805495572904537
C4,0.4892220801470185
P3,0.4778804787440729
P4,0.5009466158844766
O1,0.21870897158893954
O2,0.2727684732525072
F7,0.41020917463410567
F8,0.36366920003972736
T3,0.5011932261545367
T4,0.49042040424900624
T5,0.2670316857524948
T6,0.47360896081847526
FZ,0.36663547726884604
CZ,0.49002087416197404
PZ,0.5013374425725762
25+,0.6292261694895146
26+,0.4879263783398414
27+,0.6641062146691576
