window_idx,start_time,n_connections,mean_strength,max_strength
0,0.0,253,9.283970568493858,136.66079847924803
1,7.0,270,10.435443381848566,227.6531099158334
2,14.0,271,11.702467010362787,151.4797100515257
3,21.0,258,9.847620204435417,141.8404028801567
4,28.0,273,15.162128920494439,201.89548208728888
5,35.0,251,10.411923657707613,171.70271497865545
6,42.0,295,14.392614569310274,167.70958302170672
7,49.0,288,14.42258473267377,117.76479988302614
8,56.0,230,7.41405040484165,89.44600266348631
9,63.0,248,9.379964337402443,88.18026036726594
10,70.0,266,10.537086734354943,167.68452163119431
11,77.0,269,10.864566774270957,226.6426912723602
12,84.0,243,9.195475787582804,147.81155346896128
13,91.0,238,10.813275680470257,83.34437826656365
14,98.0,266,14.491412732325886,93.6147461729108
15,105.0,258,8.51281287327301,85.56052555581394
16,112.0,277,14.066350652304948,135.76417785611739
17,119.0,235,10.586528298300475,271.0777906801791
18,126.0,217,7.323159707925088,97.65090628108548
19,133.0,229,7.482167771610531,81.56821237932536
20,140.0,198,7.10461651307998,153.67666264141653
21,147.0,223,7.2702186869416785,145.23169037411577
22,154.0,218,8.158933491987929,121.90870218076046
23,161.0,258,9.120420057808065,66.0155329764582
24,168.0,336,36.58311093734969,253.77878085964997
25,175.0,334,44.730887392787466,181.04802436191395
26,182.0,177,5.965984922593448,61.64400314262945
27,189.0,309,26.19422557371944,186.0060037768165
28,196.0,330,39.548328161969536,278.1506180669947
29,203.0,259,8.503077617272298,156.9031031904724
30,210.0,282,14.616266675988836,252.58653823069872
31,217.0,200,6.713145865984558,126.3438335293088
32,224.0,287,10.469043314992618,75.81220800765776
33,231.0,205,5.857488001327514,75.89525935755047
34,238.0,198,7.403942569556237,105.59370691001415
35,245.0,203,6.938783571285191,127.38139074072585
36,252.0,235,9.466838578610105,158.87477065848714
37,259.0,230,8.266349881365922,109.1458123513494
38,266.0,249,7.648696781911948,56.15838072733584
39,273.0,240,8.825756876467347,94.5632725504396
40,280.0,231,8.47288349966828,65.47166293192579
41,287.0,253,8.686214907112964,78.55700874499162
42,294.0,247,8.70877672213756,124.51000291083847
