Source,Target,F-statistic,p-value
F3,F4,1829.5962446636222,0.0
F3,Fp2,1271.7480812611345,0.0
F3,FZ,1257.3710173439397,3.5799216554666777e-270
FZ,F4,1105.5755573758543,0.0
F3,Fp1,1041.7962990374458,0.0
FZ,F3,838.3415266853909,5.56957503275826e-182
Fp2,F4,776.5060740862119,0.0
F8,F4,694.8316581628047,4.0585369824876133e-296
Fp1,F4,648.0045188008706,1.3364220752206272e-276
C4,F4,546.1658633693966,5.788864984422297e-234
C3,C4,542.4823259451691,2.0402777384569284e-232
FZ,Fp1,526.4864903676314,1.0764248788327601e-225
FZ,Fp2,521.3209861211701,1.6002632780532916e-223
Fp1,C4,482.35759281572587,4.083873949778752e-207
F7,F4,478.4946946744661,1.7369687833846146e-205
F7,C4,474.1010676510509,1.2380779525339912e-203
F8,C4,458.9049150520233,3.201432206815356e-197
Fp2,C4,453.28862182761725,7.530995280107624e-195
F4,Fp2,445.8137180528267,1.0824911296365922e-191
F4,C4,441.59427842689286,6.568209424696909e-190
C3,F4,430.5049850736664,3.203830442035667e-185
T4,C4,429.4038010309259,9.362461134147679e-185
T3,C4,428.7869224366292,1.707254665141551e-184
F7,Fp1,411.9582186455644,2.258223005310387e-177
F3,C4,411.16787753946215,4.879756019410962e-177
F8,FZ,406.8298053523748,6.514218412185532e-90
F3,F8,394.20169488676487,7.51255923518381e-170
F8,Fp2,388.19646307314645,2.6397886300561578e-167
F8,C3,379.7157400946009,1.0432015739726918e-163
F7,FZ,377.1258054086972,1.592656722201616e-83
F7,C3,372.1725690889673,1.6561637650663378e-160
Fp1,C3,369.0097122521552,3.64428741494293e-159
T4,C3,365.73400694291684,8.959737276249931e-158
Fp2,C3,364.5569997173453,2.8317519285158846e-157
PZ,C4,352.43835834728407,3.978776151363243e-152
Fp2,Fp1,351.55987833347217,9.398402758746698e-152
T3,C3,341.81486781202665,1.3046105673104258e-147
Fp1,Fp2,339.8200403112474,9.199208210837252e-147
P3,C4,334.7769459578303,1.284429841408052e-144
Fp1,FZ,333.29294207749274,4.387203890614989e-74
F4,C3,330.7076190298106,6.918062676976056e-143
C4,C3,323.8983495900152,5.469130785279908e-140
Fp2,FZ,319.41444336747685,4.310461006636221e-71
F3,C3,312.4219687772668,4.215503337706333e-135
F8,T4,308.85408541693283,1.3958685587965585e-133
FZ,C4,306.55716370584963,1.3291028644658311e-132
PZ,C3,306.425148434672,1.512914014155837e-132
F7,Fp2,306.32050543547615,1.6765097296787413e-132
P4,C3,296.98692622666806,1.5955252719424152e-128
Fp2,F8,295.0131992923139,1.1079222680680211e-127
F4,Fp1,293.8571179958986,3.4475823780793187e-127
CZ,F4,290.6164289427572,8.311464983201334e-126
P4,T4,289.04387904083126,3.8946963992480575e-125
P4,C4,284.047507904303,5.2745407084680205e-123
P3,C3,282.1948240554025,3.2568812976206866e-122
F8,Fp1,279.9982110963584,2.8203607870537545e-121
F3,F7,254.2255769784846,2.8799735648063046e-110
Fp2,T4,250.29993031591482,1.3734307054011684e-108
T3,T4,243.81099489869612,8.185661158153156e-106
Fp1,F7,235.72785566614394,2.3532917512022264e-102
T5,C4,230.18516875515334,5.549858996038683e-100
T6,C3,227.0891783200092,1.1746444498181443e-98
T4,F4,220.4042006412569,8.572493193095365e-96
T6,C4,219.7475711485912,1.638353644789563e-95
F7,T4,219.7315549832747,1.6644437763559386e-95
Fp1,CZ,216.59778682600253,3.663833217866946e-94
Fp2,F3,212.66490585735653,1.775621251698936e-92
T6,T4,211.5659991448617,5.252352846858403e-92
T3,F4,206.81649793728926,5.70702705365795e-90
Fp1,F8,203.9997168414962,9.209016293513541e-89
T3,CZ,203.192741621657,2.0430247417560889e-88
F3,T4,201.23651975201776,1.4100821342043472e-87
F4,F3,195.30854200313618,2.9778799451287473e-44
C4,F8,192.40419338075344,8.678663056431515e-84
T3,F7,191.717402823731,1.7107380476239708e-83
FZ,F8,191.14036748548762,3.025682069031277e-83
T5,C3,190.60902490383512,5.1151859749256684e-83
Fp1,T4,190.52330702022564,5.567368532531228e-83
F7,F8,190.4527105965746,5.969649129878008e-83
Fp1,PZ,188.19783171797147,5.54339245583598e-82
Fp2,CZ,186.70153102277447,2.4326749517984167e-81
T3,FZ,185.23098045400656,1.0408707320863063e-80
C3,F7,183.94643619776767,3.705981701253598e-80
P4,F4,183.6572048557842,4.9327368634972626e-80
Fp2,PZ,183.19291965174625,7.806180370161976e-80
Fp2,P4,176.22963570021514,7.63761389505433e-77
Fp1,P4,175.05880839594826,2.431750084247681e-76
PZ,CZ,174.20184780335433,5.676401897704192e-76
P3,F4,171.63447247070764,7.196911063680783e-75
