Source,Target,F-stat,p-value
CZ,P4,397.006791537599,1.2550668867315773e-172
CZ,Fp2,396.8351643069134,1.488531488685996e-172
Fp2,T6,395.61303326380323,6.684439161873769e-88
P4,C3,389.7255879035903,1.746293277811538e-169
CZ,F7,381.91829509979834,4.102744069289819e-166
P3,C4,380.4535754209064,1.760115095006415e-165
F3,T6,370.57536640795763,1.8208500220031624e-82
T3,CZ,370.3409102827144,2.047290638623325e-82
Fp2,F3,357.0991084280732,1.536528152139932e-79
T4,FZ,355.8080656754025,2.930298607645072e-79
F3,T3,353.5471104732689,9.076725735741523e-79
P4,F4,352.2692021471633,1.7197422433974813e-78
P3,F7,350.85715815876733,3.484458332179338e-78
CZ,T4,349.9099216159078,2.738331076216192e-152
P3,F8,345.8383987253323,4.287253233962301e-77
P3,T3,343.1216925516774,2.3451910534740207e-149
Fp1,T6,339.33278050581856,1.1099118078596146e-75
T5,T3,337.42145382544044,6.808666522815372e-147
P4,O1,337.02753953209634,1.0075512937042956e-146
F7,T5,336.0983176894766,5.596455214225734e-75
F4,T5,334.0669076960454,1.5460249618313793e-74
F8,T3,333.77795719856056,1.7864435337226187e-74
C3,T3,328.040691797698,7.702621408938034e-143
Fp2,C4,325.5971702434494,1.0698959191634958e-72
T5,FZ,324.3458593154,2.0008841019248929e-72
C4,T3,324.2227286085714,3.440371465799164e-141
Fp2,T5,317.2618523800517,6.9265841751441156e-71
F4,T6,316.50619617257894,1.0109464529121006e-70
FZ,C4,312.26462127404614,8.442874424270971e-70
CZ,Fp1,311.5430335041236,1.0397527888624892e-135
F3,T4,305.75171972354656,3.314040977468269e-133
O2,T4,305.3195420149934,2.7284553569657903e-68
T6,P4,305.28791729522015,2.771982741469583e-68
Fp2,C3,302.230244522314,1.2805541194946529e-67
T4,T5,301.9610443108776,1.4652520549621178e-67
PZ,T3,299.29761441595406,2.0443257308949924e-130
F4,T3,296.92583452796856,1.8215397448622749e-66
Fp1,C3,288.1486027030776,1.4744603666727318e-64
T4,C3,286.16520980229467,9.743056477488507e-125
T6,FZ,285.30279127848763,6.128999128557931e-64
PZ,T5,282.6519142735547,3.2207196130655356e-123
C3,PZ,281.6590965339659,8.655509222117176e-123
P4,O2,277.91102390198154,2.481547195769747e-62
P4,PZ,277.27483909154245,6.8127517235308455e-121
F4,C3,273.1975264963614,3.951142771621408e-119
PZ,O1,266.0137392650586,5.0571817029507054e-116
O2,P3,256.3556601667646,7.6177145652549575e-112
T4,F7,256.3342225016892,7.782138077104639e-112
F7,C3,255.4764687924568,1.8819457852432475e-57
PZ,F4,250.7598803066188,2.0078898524718013e-109
T6,P3,249.9696545063824,4.411980447969016e-109
C4,P4,244.16210497620008,1.436856509858191e-106
P3,O1,241.7746480125735,1.5504920847449185e-105
P4,F7,234.69176859568836,6.278091206701071e-53
F8,C4,234.44669665437812,7.098629122537059e-53
F4,T4,233.75659075901837,4.572643010128141e-102
C4,CZ,233.5807050353625,5.448588328778646e-102
PZ,F3,230.81064172839658,8.611710943393683e-101
Fp1,T5,228.34026965217112,1.51537491430943e-51
F3,T5,227.3709401334514,2.4635356359375097e-51
F3,C4,224.82052422883837,8.848134713726443e-51
T3,T5,219.77052242027202,5.169405657355208e-96
FZ,CZ,214.68738002443257,1.4239269699389292e-48
T3,C4,210.8639614269379,3.706228204560646e-92
FZ,T6,208.0104673633531,4.0534921437069363e-47
P3,FZ,207.59861384191834,4.983646902517754e-47
CZ,P3,205.7039607824652,6.350995122649265e-90
P4,T3,205.6689010077209,6.576892431098614e-90
F8,T4,201.416881255557,4.5600719152487104e-88
Fp1,C4,186.6621383471513,1.819225001350347e-42
O1,O2,184.0231632278943,1.5522900799534299e-80
T5,P3,183.20387664875784,1.0322861115712325e-41
F8,F3,182.7913087733989,5.302465359295848e-80
FZ,T4,180.4031917191181,5.738229301299108e-79
Fp2,T4,177.61895496833975,9.219038156485939e-78
FZ,T5,173.5455757959498,1.3178301187406141e-39
P4,FZ,172.60432357973414,2.114210503248326e-39
F3,P3,172.588358286728,2.1312301524123268e-39
F7,T4,170.9627199146349,7.044296429080085e-75
F4,FZ,169.01700660145664,4.905454333714691e-74
FZ,T3,167.44567072828715,2.3516170451505397e-73
T3,C3,167.1704979128088,3.2391374918989724e-38
Fp2,Fp1,166.9013054602589,4.0474742102799555e-73
O1,PZ,166.8563535961673,4.233087025799365e-73
O2,P4,166.04311152174049,9.526979084484982e-73
P4,F8,165.10777894738598,2.4218565618041885e-72
T3,O1,163.65517907977448,1.8939597737545576e-37
Fp1,F4,162.1202775057403,4.768647279346025e-71
F4,P3,161.66800960530395,5.140033197889434e-37
P3,C3,158.7538471824205,1.3704770483765848e-69
T5,C3,158.71185393213597,2.2701933553740288e-36
C3,T6,158.1873802250743,2.411548100109136e-69
O1,P3,157.70666670081386,3.895549327294565e-69
O2,PZ,156.56113322497274,1.2214786277950406e-68
P3,Fp2,155.52112557315291,1.1283589630242578e-35
F8,P3,152.93592714951095,4.1376216607001773e-35
