Channel,Out,In,Total
Fp1,18,18,36
Fp2,18,18,36
F7,18,18,36
T5,18,17,35
F4,17,18,35
P4,17,18,35
C3,17,18,35
O1,17,18,35
O2,17,18,35
T4,17,18,35
F8,17,18,35
CZ,17,17,34
P3,17,17,34
C4,17,17,34
FZ,16,18,34
PZ,18,15,33
T6,14,18,32
F3,18,13,31
T3,17,13,30
