Source,Target,F-statistic,p-value
CZ,FZ,1126.8403093063628,0.0
FZ,Fp2,837.3270418387334,0.0
FZ,CZ,791.4771462236204,0.0
CZ,F4,763.1679030109672,0.0
CZ,Fp2,751.8430270364194,8.3136e-320
FZ,Fp1,680.0741849868382,5.667299330915417e-290
CZ,Fp1,677.3771595295552,7.533630134000937e-289
F3,Fp2,603.4549317892671,5.562488450765647e-258
C3,F4,576.6946567032867,8.987920542292811e-247
FZ,F4,570.1066231810524,5.1975182273160624e-244
C4,F4,556.0602140896116,4.0610998755597066e-238
F3,Fp1,554.9616367346683,1.1741871959981136e-237
C3,Fp2,554.6485476056591,1.5891041669450766e-237
F3,F4,543.2845210785287,9.391517614705714e-233
C3,FZ,542.8029323365669,1.4963046778239387e-232
PZ,FZ,533.20342777278,1.6157710168832094e-228
PZ,F4,511.37654180065607,2.4432141773568357e-219
F4,Fp2,496.5571123848411,4.2402010019173226e-213
C3,Fp1,495.15645434243305,1.6496640232739236e-212
C4,FZ,487.7214272304359,2.23946150603755e-209
F8,Fp2,454.7445741171299,1.8280642829402605e-195
PZ,Fp2,451.6102352570887,3.852269728110846e-194
C4,Fp2,411.29387550499393,4.3156811748577715e-177
PZ,Fp1,404.34675679141367,3.7769226494050934e-174
CZ,F7,400.48729791783643,1.6298533897757815e-172
C4,Fp1,399.17091372713804,5.887160880590683e-172
P4,FZ,378.08727518609066,5.11961462227605e-163
F7,Fp2,373.0526294059092,7.00806525916261e-161
F7,F4,356.103438075028,1.1028421537975925e-153
Fp1,FZ,349.63445817922326,6.184710624360386e-151
P3,F4,348.9007085514841,1.268159180669943e-150
C3,F7,346.0411513172643,2.0828656826208693e-149
P4,F4,345.9488718300931,2.2797606747336086e-149
F8,Fp1,326.56685274549733,4.0003232280323926e-141
P3,FZ,322.28393261174887,2.661765874784034e-139
C3,F8,321.31670249310696,6.869874942140509e-139
Fp2,FZ,316.9569135585064,4.935660067624429e-137
P3,Fp2,315.07536253676506,3.123648715105349e-136
C3,F3,309.68486689229627,6.178513999431672e-134
F3,F8,308.95279517062215,1.2670319679224733e-133
F8,F4,302.18663407607113,9.687551091180295e-131
C4,F7,301.2974323564043,2.3186747924708508e-130
Fp1,Fp2,289.2725278920766,3.111256388814001e-125
F8,F7,287.7507456307903,1.3871666807394281e-124
F3,F7,286.88574401216687,3.2446337884972587e-124
F7,F8,285.3100256243965,1.5256936977556075e-123
C4,F3,284.2283447527681,4.415896246300948e-123
FZ,F7,279.5164892917593,4.528119604386742e-121
PZ,F7,279.0521864845313,7.146640296808248e-121
P3,Fp1,267.77515511633885,4.670376723453649e-116
Fp1,CZ,257.2224051230803,1.5078612704070258e-111
F7,Fp1,255.50148151209024,8.202763963546282e-111
F4,CZ,252.66652892105756,1.3363313036749106e-109
Fp1,F4,242.53618178933908,2.873477284215063e-105
T3,Fp2,239.49188735759773,5.766386707811164e-104
P4,Fp2,235.78614035470875,2.2219316504844084e-102
PZ,F8,235.72609902313985,2.3573691398665316e-102
P4,Fp1,235.57849125268683,2.7264791337159158e-102
CZ,F8,233.81760601598504,1.546275873569384e-101
O2,FZ,233.142087364998,3.0091276236637336e-101
T3,FZ,232.63790920304038,4.94607073479849e-101
T3,Fp1,228.88324595322305,2.0030943754380293e-99
Fp2,CZ,226.7317713873458,1.670918588321796e-98
O1,F4,226.2565200895352,2.6697629836588213e-98
PZ,F3,223.1110250462886,5.937751940282195e-97
PZ,CZ,220.7218142981029,6.266792837817501e-96
T3,F4,220.0072035373334,1.2681762207509084e-95
F4,FZ,218.84282682623027,3.999625874751356e-95
O2,F4,216.4205946940061,4.3637676653144697e-94
O1,FZ,214.51640924131414,2.856588901021472e-93
C4,CZ,209.57822743445436,3.7360780870731714e-91
CZ,F3,204.31736064089694,6.729777898709941e-89
F4,Fp1,203.490059108692,1.5232495070185968e-88
F8,F3,202.70977469825942,3.2915138803343114e-88
C4,F8,201.2887288436262,1.339220298390054e-87
P3,F8,201.21764981422632,1.4366061150840062e-87
F3,FZ,200.41983262862027,3.158853355840594e-87
O1,Fp2,193.8163215132543,2.1502481910413943e-84
F7,FZ,192.123553668439,1.1452112607248954e-83
C4,C3,189.26541574029017,1.9299063083535865e-82
P4,F3,187.705081768559,9.021713393673207e-82
F7,CZ,184.83200723887927,1.5441423889432504e-80
FZ,PZ,184.72884687680445,1.70992755027746e-80
C3,CZ,184.49398474273937,2.1568171151602765e-80
P3,F7,180.33533497639226,1.3168270238426222e-78
P4,CZ,179.91779413658446,1.9899641034638967e-78
P4,F7,175.04654953354776,2.4614173952399547e-76
O1,Fp1,174.19009946266692,5.742756646504817e-76
Fp1,F8,163.84638702752514,1.6009195677465938e-71
T3,F8,157.28921139839082,1.0563651217336658e-68
Fp2,F4,157.084257815101,1.2940710806239262e-68
F3,CZ,152.54517522225726,1.159741608005457e-66
F8,C3,152.35797714124885,1.3960238605316235e-66
F4,F7,151.9860446234075,2.0178968853864561e-66
F8,FZ,151.28568663212673,4.0383542367589827e-66
O2,Fp2,144.2566428888319,4.275015912761547e-63
C3,C4,143.1860646427579,1.2352186071005604e-62
T3,F7,142.64846741755466,2.1045142390940338e-62
C4,P3,142.09476186037372,3.643357443483453e-62
O2,Fp1,141.96509487700217,4.14304679393675e-62
Fp1,F3,139.39183333252996,5.310442105188096e-61
P4,F8,136.60735928699316,8.395939808703659e-60
FZ,C3,135.47174631528182,2.5888141689086774e-59
F3,C3,130.58491929375174,3.2954827703877775e-57
F8,CZ,129.52987570683314,9.384764243320657e-57
F4,C3,124.57723507844783,1.2775525066492525e-54
O1,F7,122.13375517524503,1.4436035974519491e-53
P4,P3,122.1309374909907,1.4476460452422919e-53
C4,T3,121.81503993712458,1.9806912283505904e-53
Fp2,F3,121.34180733249205,3.16802671677371e-53
FZ,C4,118.81769648770087,3.879973327050534e-52
P3,C4,117.54241518967943,1.3759879305731756e-51
Fp1,C3,117.41921310271755,1.5550004518146476e-51
P3,CZ,116.79948833767881,2.876851909959167e-51
P4,C3,115.85878311045896,7.319999544697242e-51
O1,F8,115.78324014897537,7.89011095871637e-51
FZ,F8,115.35850931237678,1.202868804281186e-50
Fp2,Fp1,115.2374594107428,1.3564798895405504e-50
F3,C4,111.7603693091873,4.284059719668582e-49
Fp2,C3,110.96837719541155,9.406657080477225e-49
P3,F3,108.11107729044616,1.6065907959884164e-47
O2,F3,106.85050324977115,5.61968248567342e-47
F4,F3,104.84436242151008,4.123258315804296e-46
F7,C4,102.2979855585038,5.176114764715685e-45
F7,C3,101.78413011928373,8.624897522972335e-45
O2,F7,100.52058045461054,3.027320555188589e-44
Fp1,C4,97.46738420620791,6.2934578716993036e-43
Fp1,T3,96.19437685318674,2.2306063383610776e-42
T4,F4,96.06247283015891,2.5431146011846084e-42
O2,CZ,95.35494820222355,5.1382171583411716e-42
F7,T3,95.12272707095454,6.472438268955102e-42
F8,T3,93.39839962230437,3.593742171185677e-41
T4,FZ,87.8628578328281,8.83198622729432e-39
Fp2,F7,86.26798842575336,4.3147125821586263e-38
O2,F8,85.71670592871436,7.466045899254928e-38
O1,F3,85.397208016818,1.0259085498141545e-37
F4,C4,84.8504193103356,1.767335482888462e-37
Fp1,F7,83.79193978801814,5.813824987983185e-20
P3,T3,83.07919774983388,1.0292815128711882e-36
T3,CZ,82.13661731942084,2.6289876150819337e-36
T3,C4,81.4631371871707,5.137941809351299e-36
C3,T3,78.45525143793463,1.024708188705469e-34
T4,Fp1,77.49840921915867,2.6554349991331583e-34
FZ,P4,77.33834333328966,3.1139855333919124e-34
PZ,C4,76.97042581866918,4.490908047208681e-34
T6,Fp2,75.91352310727072,3.1035641741278696e-18
PZ,C3,75.42937109346798,2.0817699844487788e-33
PZ,P3,74.6746556953379,4.412358984278742e-33
F7,F3,73.69247928245771,1.1728855310379621e-32
T6,FZ,73.29274408937832,1.7460813868619746e-32
T6,T4,72.32277273948756,4.5857360032334525e-32
Fp2,F8,71.53459255656935,1.0050301075603498e-31
P4,T3,71.42680140647951,1.1188810514007733e-31
O1,CZ,71.11033567427089,1.5332523121084035e-31
CZ,PZ,71.00483772039304,1.7030530812760083e-31
F8,P3,68.4318527158738,2.2070508794556244e-30
FZ,O2,67.69644133349601,4.590333547649393e-30
Fp2,C4,67.64810964430988,4.816660163953245e-30
T6,F4,67.16091690528536,7.824260623514775e-30
F4,T3,65.46484171687386,4.236414825578813e-29
P4,O2,63.150206863247945,4.24821676795759e-28
F4,PZ,62.944233594926494,5.215651251042266e-28
FZ,T3,61.84426689136474,1.5601341767937678e-27
Fp2,T3,60.550944176784526,5.658537984428986e-27
PZ,T3,60.170943014641765,8.262590962490622e-27
T4,F8,60.03967670249379,9.57055967677208e-15
T4,Fp2,59.14638297566256,2.2931038198764852e-26
Fp2,T6,58.31669301082042,2.29351315599718e-14
P4,O1,57.936710865182015,7.65353444178702e-26
O1,C4,56.898148759844474,2.1542230320536656e-25
O2,P3,56.06729597817427,4.930101259285448e-25
T5,FZ,55.259426378883894,1.1027892154022743e-24
T4,F7,55.09050526175897,1.3049739771371222e-24
P4,T4,53.9146938487068,4.212271039534938e-24
F3,T3,52.86179470167658,1.2029942281236879e-23
F8,C4,50.69681171484862,1.0410463175650789e-22
T5,Fp2,50.67100090242853,1.1151984191349405e-12
T5,Fp1,50.56838759907107,1.1749591079187656e-12
Fp1,PZ,50.53137987462568,1.2276924306786162e-22
F8,T6,50.101117561977006,1.4902850095575508e-12
F4,P3,49.63440967594276,3.0020848739583166e-22
O2,C3,49.23703012920199,4.461398448843824e-22
T5,T4,48.878408508792376,6.378847512864209e-22
FZ,P3,48.6201526642578,8.252025144881922e-22
P3,P4,48.56493656500851,8.719025871415297e-22
Fp2,T4,48.11486855220918,4.096014205108329e-12
T6,F8,47.944738116555065,4.466715942972721e-12
Fp2,T5,46.75301870245539,8.196575027728781e-12
T5,T6,46.283239803000804,8.481393346072345e-21
F8,T4,46.156006720411135,1.1111219082033175e-11
P4,PZ,46.003495568732305,1.1210090984772405e-20
T6,Fp1,45.82959892224214,1.3332614794416542e-20
C4,PZ,45.779970251524226,1.4009003668090977e-20
T4,F3,45.10733029821356,2.739703345991792e-20
Fp2,PZ,44.74659778611303,3.925806709022084e-20
CZ,T6,44.567942726057325,2.496927713562539e-11
O1,P4,44.23296311366379,6.552076122925385e-20
T5,F7,43.85619862550289,3.5899980941412964e-11
T3,F3,43.08015637141087,2.0685875175285442e-19
Fp1,P3,42.70649171060308,3.002758614552213e-19
C4,O1,42.351299580510776,4.2792669059808247e-19
F7,T5,42.17475248561837,8.46930617605523e-11
Fp1,T6,41.817933198447925,1.0162305556227141e-10
T5,F4,41.193359098639796,1.3581469009969282e-18
FZ,T6,38.88314059752032,1.3606829089120487e-17
Fp1,T5,38.746825873834645,4.884751406855137e-10
CZ,C4,38.62163384703246,1.76625498940552e-17
O2,T4,37.69524700539102,4.450621524613296e-17
O2,O1,37.51176748319848,5.344633520190338e-17
F7,P3,37.079535252655866,8.226164008591713e-17
F7,PZ,36.65764040794301,1.2531487898570784e-16
O1,T3,35.78921523445816,2.9805937295402285e-16
Fp2,O2,35.66797304612609,2.3644505045416147e-09
Fp1,T4,35.301377539192465,2.8534914080422952e-09
Fp2,P3,35.019554132372996,6.424275900588608e-16
CZ,T4,34.42984114010032,4.462420070822173e-09
F8,PZ,34.412671582648464,1.1771157389519546e-15
CZ,T3,34.168457390111335,1.5019420413828824e-15
T3,T5,33.8912439947005,1.98056842652288e-15
T6,F7,33.334322463790855,3.452634753455645e-15
F4,T6,33.09978171407428,8.834580408525398e-09
FZ,O1,32.56922708197201,7.408738709270143e-15
C3,P4,32.40203960418436,8.75398348611305e-15
T3,T4,31.62933614011399,1.892850340583165e-14
C3,P3,31.380237120985445,2.4270904581329163e-14
F8,O2,31.19345335842174,2.354468562814114e-08
T4,T3,31.014774469331222,3.4953883505229444e-14
FZ,T4,30.52969438699449,5.672291711715278e-14
T5,T3,30.45959776785738,6.083355675105822e-14
T6,F3,30.415080324710672,6.359751869933796e-14
CZ,C3,30.154516777838158,8.248740639205026e-14
C4,O2,30.107355553956275,8.646313949536796e-14
C4,T4,28.59741220138269,3.9029231539199606e-13
F8,P4,28.32390277624576,1.0331094199224768e-07
CZ,O2,27.987028142693127,7.178081936529961e-13
P4,T6,27.90950450512007,7.755642446589403e-13
P3,O1,27.052268528151153,1.825039030605507e-12
O1,P3,27.027358789839933,2.0182759470010292e-07
F4,T4,26.987865781011948,2.0599008699922558e-07
P4,C4,26.890528308319887,2.144849410786686e-12
T4,PZ,26.557775853066822,2.572910063455224e-07
T3,O1,26.401902175791857,3.49342594520996e-12
C4,P4,26.386484795282616,2.811272074828841e-07
Fp2,P4,25.975994875462813,3.4765445240981664e-07
T5,CZ,25.655340210045768,7.361267081842604e-12
T6,T5,25.550639115410778,8.172426452852903e-12
C3,O1,25.381235254582936,9.67843741280344e-12
O2,P4,24.648731869353036,2.0110863962702e-11
O2,T3,24.519207589794984,2.288738058154834e-11
T4,CZ,23.938195903290755,4.088317850174977e-11
T3,P4,23.88819276976513,4.297623077599376e-11
F3,T5,23.528912698079672,1.2362854281191873e-06
Fp1,O2,23.004772229780215,1.6232642725179234e-06
F3,PZ,22.917106342999652,1.1333125688727094e-10
CZ,P4,22.865527178471435,1.1932137298900777e-10
T4,T6,22.850519979288677,1.2112296288341802e-10
F4,P4,22.7913863426711,1.284905868082515e-10
F4,O2,22.71537283836292,1.8868335552864159e-06
