source,target,consistency
F4,Fp2,0.9469026548672567
CZ,Fp2,0.9380530973451328
FZ,Fp2,0.9203539823008849
F8,Fp2,0.911504424778761
CZ,Fp1,0.9026548672566371
F3,Fp2,0.9026548672566371
F3,F4,0.9026548672566371
F3,Fp1,0.8938053097345132
FZ,F4,0.8938053097345132
F3,F8,0.8849557522123894
FZ,Fp1,0.8849557522123894
CZ,F4,0.8849557522123894
Fp2,CZ,0.8849557522123894
F8,Fp1,0.8761061946902655
F8,F7,0.8672566371681416
Fp1,CZ,0.8584070796460177
C4,Fp2,0.8584070796460177
C3,Fp2,0.8584070796460177
F7,Fp2,0.8584070796460177
F4,CZ,0.8495575221238938
F7,F8,0.8495575221238938
F7,F4,0.8407079646017699
F8,C3,0.8407079646017699
CZ,FZ,0.831858407079646
C3,F4,0.831858407079646
F8,F3,0.831858407079646
Fp2,FZ,0.831858407079646
Fp1,FZ,0.831858407079646
F8,FZ,0.8230088495575221
F4,F3,0.8230088495575221
F8,CZ,0.8230088495575221
PZ,Fp2,0.8230088495575221
FZ,CZ,0.8230088495575221
F4,FZ,0.8141592920353983
C4,Fp1,0.8141592920353983
C3,F8,0.8053097345132744
PZ,Fp1,0.8053097345132744
C3,Fp1,0.8053097345132744
C4,F8,0.8053097345132744
F3,CZ,0.7964601769911505
CZ,F8,0.7964601769911505
CZ,F7,0.7876106194690266
FZ,F8,0.7876106194690266
F7,Fp1,0.7876106194690266
C4,C3,0.7876106194690266
C4,F7,0.7876106194690266
Fp2,F4,0.7876106194690266
PZ,F4,0.7787610619469026
C3,C4,0.7787610619469026
Fp2,C4,0.7787610619469026
Fp2,C3,0.7787610619469026
Fp1,F4,0.7787610619469026
Fp1,Fp2,0.7787610619469026
Fp1,C3,0.7787610619469026
F7,CZ,0.7699115044247787
P4,Fp2,0.7699115044247787
P3,Fp2,0.7699115044247787
F8,F4,0.7610619469026548
PZ,F7,0.7610619469026548
F7,T3,0.7610619469026548
F4,C3,0.7610619469026548
F3,C3,0.7522123893805309
F4,PZ,0.7522123893805309
C4,F3,0.7522123893805309
FZ,F7,0.7522123893805309
F7,C3,0.7522123893805309
F3,C4,0.7522123893805309
C3,T3,0.7433628318584071
F3,F7,0.7433628318584071
T3,Fp2,0.7345132743362832
F3,T3,0.7345132743362832
C3,F7,0.7345132743362832
Fp2,F3,0.7345132743362832
Fp1,F8,0.7345132743362832
F4,C4,0.7345132743362832
Fp2,PZ,0.7345132743362832
F4,F7,0.7345132743362832
F4,Fp1,0.7256637168141593
C4,FZ,0.7256637168141593
P3,Fp1,0.7256637168141593
C4,F4,0.7256637168141593
P3,F8,0.7256637168141593
PZ,FZ,0.7256637168141593
Fp1,C4,0.7168141592920354
P3,C4,0.7168141592920354
C4,P3,0.7168141592920354
Fp2,F8,0.7168141592920354
Fp1,PZ,0.7168141592920354
F7,FZ,0.7168141592920354
PZ,F8,0.7168141592920354
P4,FZ,0.7079646017699115
Fp1,F3,0.7079646017699115
F8,C4,0.7079646017699115
T3,FZ,0.6991150442477876
CZ,F3,0.6991150442477876
CZ,C3,0.6991150442477876
T3,F4,0.6991150442477876
F4,P3,0.6991150442477876
F3,FZ,0.6991150442477876
P3,F4,0.6991150442477876
PZ,F3,0.6902654867256637
F7,P3,0.6902654867256637
F8,PZ,0.6902654867256637
F8,P3,0.6902654867256637
C3,CZ,0.6902654867256637
C3,F3,0.6902654867256637
P4,F7,0.6902654867256637
Fp1,T3,0.6902654867256637
O1,Fp1,0.6814159292035398
C3,FZ,0.6814159292035398
O1,Fp2,0.6814159292035398
FZ,C3,0.6814159292035398
FZ,C4,0.6814159292035398
F7,C4,0.6814159292035398
PZ,P3,0.672566371681416
P3,T3,0.672566371681416
P4,F4,0.672566371681416
Fp2,P3,0.672566371681416
T3,Fp1,0.672566371681416
F8,T3,0.672566371681416
FZ,F3,0.6637168141592921
T3,F8,0.6637168141592921
C3,P3,0.6637168141592921
O2,F4,0.6548672566371682
P4,F8,0.6548672566371682
P3,F7,0.6548672566371682
PZ,CZ,0.6548672566371682
Fp2,F7,0.6548672566371682
T3,C4,0.6548672566371682
T3,F3,0.6548672566371682
PZ,T3,0.6548672566371682
PZ,C3,0.6460176991150443
P4,F3,0.6460176991150443
P4,Fp1,0.6460176991150443
FZ,T3,0.6460176991150443
CZ,T3,0.6460176991150443
O2,FZ,0.6460176991150443
PZ,C4,0.6460176991150443
Fp2,Fp1,0.6371681415929203
F4,T3,0.6371681415929203
FZ,PZ,0.6371681415929203
CZ,C4,0.6371681415929203
F7,PZ,0.6283185840707964
C3,O1,0.6283185840707964
P4,C3,0.6283185840707964
F3,PZ,0.6283185840707964
F4,F8,0.6283185840707964
Fp1,P3,0.6283185840707964
T3,F7,0.6194690265486725
T5,F8,0.6194690265486725
T3,CZ,0.6194690265486725
O2,Fp2,0.6194690265486725
Fp2,T3,0.6194690265486725
F4,P4,0.6194690265486725
C4,T3,0.6194690265486725
P3,P4,0.6194690265486725
O1,FZ,0.6106194690265486
FZ,P3,0.6106194690265486
CZ,P3,0.6106194690265486
CZ,PZ,0.6106194690265486
C4,T4,0.6106194690265486
P4,P3,0.6106194690265486
Fp1,F7,0.6106194690265486
F3,P3,0.6106194690265486
P3,CZ,0.6017699115044248
FZ,O2,0.6017699115044248
O1,F4,0.6017699115044248
P3,FZ,0.6017699115044248
T5,Fp2,0.6017699115044248
O2,Fp1,0.6017699115044248
F7,F3,0.6017699115044248
F3,P4,0.5929203539823009
C4,O1,0.5929203539823009
O2,F3,0.5929203539823009
T3,C3,0.5929203539823009
T6,T4,0.5929203539823009
FZ,O1,0.584070796460177
T5,F4,0.584070796460177
FZ,P4,0.584070796460177
PZ,O1,0.584070796460177
O2,F8,0.584070796460177
O2,F7,0.584070796460177
P4,T4,0.584070796460177
O1,C4,0.5752212389380531
T3,PZ,0.5752212389380531
P3,O1,0.5752212389380531
C4,PZ,0.5752212389380531
P4,O1,0.5752212389380531
Fp2,O1,0.5752212389380531
F4,O1,0.5752212389380531
C3,P4,0.5752212389380531
O1,P4,0.5752212389380531
F8,P4,0.5752212389380531
T3,O1,0.5752212389380531
C4,CZ,0.5663716814159292
T3,P3,0.5663716814159292
PZ,P4,0.5663716814159292
F4,O2,0.5663716814159292
Fp2,P4,0.5663716814159292
Fp1,P4,0.5663716814159292
T5,C4,0.5663716814159292
T5,F7,0.5663716814159292
T4,F8,0.5663716814159292
O1,T3,0.5575221238938053
P4,T3,0.5575221238938053
T6,F8,0.5486725663716814
F8,O1,0.5486725663716814
T4,Fp2,0.5486725663716814
T3,T5,0.5486725663716814
Fp1,O1,0.5486725663716814
P3,F3,0.5486725663716814
C4,O2,0.5486725663716814
T4,Fp1,0.5486725663716814
O1,F7,0.5486725663716814
F3,O1,0.5398230088495575
CZ,O2,0.5398230088495575
CZ,P4,0.5398230088495575
CZ,O1,0.5398230088495575
T6,Fp1,0.5398230088495575
T5,Fp1,0.5398230088495575
C4,P4,0.5398230088495575
P4,CZ,0.5398230088495575
F3,T5,0.5309734513274337
C3,PZ,0.5309734513274337
T4,FZ,0.5309734513274337
F4,T5,0.5309734513274337
C4,T6,0.5309734513274337
Fp2,T5,0.5309734513274337
O1,F8,0.5309734513274337
T4,F3,0.5221238938053098
C3,T5,0.5221238938053098
P4,O2,0.5221238938053098
Fp2,O2,0.5221238938053098
T6,Fp2,0.5221238938053098
T5,P4,0.5221238938053098
T5,O2,0.5221238938053098
P3,C3,0.5221238938053098
C4,T5,0.5221238938053098
O2,C3,0.5221238938053098
F8,T5,0.5221238938053098
F8,T4,0.5221238938053098
F8,O2,0.5132743362831859
