Channel,Participation_Coefficient
Fp1,0.5014708770274077
Fp2,0.5017077923606056
F3,0.49629900162097496
F4,0.5000414452798203
C3,0.480983160869323
C4,0.47505700842081977
P3,0.39074344551834805
P4,0.4268001104709154
O1,0.354129848613877
O2,0.34945622493420125
F7,0.4990511024193425
F8,0.5003715731882492
T3,0.46982911938118976
T4,0.48439690277563907
T5,0.27183368449853673
T6,0.39015842788284316
FZ,0.5039138704409497
CZ,0.4824909371063657
PZ,0.4372286265671167
25+,0.5786329065122227
26+,0.5493960608344972
27+,0.5389576969008791
