Source,Target,F-stat,p-value
C3,PZ,219.73333167395649,6.312924218778176e-96
P4,Fp1,218.76589291950208,1.653382209208322e-95
Fp1,T4,209.90755260932903,1.1155830250405113e-91
C3,C4,207.7890339779122,9.191107696404956e-91
T4,CZ,200.00662591733052,2.129011590536292e-87
T6,PZ,196.76534481830367,5.36723258268922e-86
C4,C3,194.80855635599391,3.7665123299011134e-85
O1,CZ,187.31116556637045,6.583063938721789e-82
F7,T4,183.52585217364995,2.8556880919326052e-80
C4,PZ,181.44331027617235,2.272699166956817e-79
F7,PZ,181.0179466125666,3.471712076140023e-79
P4,C3,178.82797927744264,3.075361645250329e-78
FZ,T3,176.62234787833586,2.7673913364930667e-77
O1,F4,174.90924188272427,1.5247762614152555e-76
F7,FZ,173.45452076984063,6.495001025240214e-76
T5,PZ,171.2074822180013,6.092299579756438e-75
P4,T6,170.27355297333168,1.5447863554203453e-74
T6,T3,169.88396830352286,2.2773728190604614e-74
PZ,C4,168.94206538086692,5.820806112085259e-74
P3,P4,168.43342874472845,9.661999276823128e-74
PZ,F4,167.67766399633175,2.051569161152941e-73
C3,T6,160.57886712648119,2.4210116964247087e-70
F4,T3,160.04730739731136,4.1118903884989433e-70
T4,Fp2,159.95981188570536,4.486497920997284e-70
O1,FZ,157.6620616034553,4.429392367237914e-69
T5,P3,155.99757867782967,2.3267090750235503e-68
T6,P3,154.23136406556958,1.3526914441349702e-67
O2,F8,153.965128943539,1.76373664578376e-67
T5,T6,153.24935462933317,3.5995388317594275e-67
P4,F7,152.60933294201587,6.812015128498802e-67
CZ,T4,152.4398960362999,8.065211990554046e-67
CZ,T5,151.82743150148426,1.484982122191558e-66
F4,T5,151.59488112483277,1.8723267739956726e-66
T3,P4,148.2865682534995,5.063541889924965e-65
Fp2,T3,140.48487401983093,1.2077912305220779e-61
T4,F7,137.67082850138746,1.9971005919763946e-60
FZ,T5,136.10793999442345,9.486852446013806e-60
P3,C4,135.20451214927306,2.3351351809359405e-59
O1,T3,134.71332110405208,3.8106937738385092e-59
F7,T3,132.04443222190838,5.453899145433592e-58
C3,T5,130.44138748128074,3.439728857884311e-30
O2,F4,130.43402473021217,2.7170080684179344e-57
PZ,FZ,130.29473840560743,3.1218336208889626e-57
O2,FZ,127.0779462769943,7.718147775825528e-56
P3,C3,126.80481256827346,1.0134544352678034e-55
T4,F3,125.74741355916173,2.909099074796905e-55
C3,O2,124.2267405502623,1.32547958842314e-54
F7,P3,123.39845062078426,3.0277544277660295e-54
T3,F7,122.79368384999852,5.534270281079713e-54
P4,O1,121.83208118477269,1.443982164128856e-53
O1,T6,121.40768653137928,2.204873995577821e-53
T6,O2,121.24118010488867,2.603182980918535e-53
F3,T4,120.37828067675923,6.15554993477998e-53
T3,T4,119.38778465936886,1.6531253192586512e-52
T3,F8,115.95511188475567,5.0729341326239984e-51
P3,O1,112.82194300575136,1.1549736355586716e-49
T5,O1,112.09004474952525,2.3968973072841786e-49
Fp1,Fp2,110.81444080901589,8.556307043246982e-49
T5,F8,109.34103902645047,3.7207932679429576e-48
Fp2,Fp1,108.3968800575022,9.543372145111462e-48
O1,C3,107.89595805031938,1.5730218725080277e-47
T6,Fp1,106.67916408474194,5.295916893203849e-47
T5,Fp1,104.59513250495834,4.23577168125853e-46
P3,F4,102.91050774720388,2.2745463027294605e-45
PZ,O1,101.47675039485462,9.509884392519493e-45
T6,C3,100.86325064640486,1.7539811541528566e-44
T6,F3,99.02777263995033,1.095013373084756e-43
T5,C3,98.55872977063609,3.242099268822796e-23
P4,T3,96.79708650182067,1.014187483859639e-42
P3,T5,95.64901128899407,3.189120891692796e-42
Fp2,T5,94.23134983034814,1.3124242076984868e-41
F3,F4,93.62781911943264,2.3968753470411393e-41
T6,P4,91.27442346851555,2.5098285323030826e-40
O2,PZ,90.1800802618625,7.481134560405971e-40
Fp1,T3,88.11383184107291,5.88270030634494e-39
T6,T5,87.49308820799932,1.0930603111784103e-38
O2,CZ,86.97158108977212,1.8394979776141986e-38
T4,Fp1,84.48122165114005,2.2091187514493265e-37
T3,C3,84.11477822246196,3.1847088939309355e-37
O2,P3,82.55147043291703,1.5162370803417654e-36
T5,F3,81.68643932827034,3.5955884064188566e-36
P3,F3,79.38831050610324,5.193834318785374e-19
P3,FZ,79.02063275047429,5.146101918777285e-35
O1,Fp2,77.71266106269253,1.899103555060851e-34
T5,O2,77.58917201165201,2.148266135595715e-34
T5,CZ,75.58081132808138,3.564333175166439e-18
PZ,C3,74.78407249947217,3.534232993881953e-33
P4,O2,71.48045057219903,9.566265886875621e-32
F3,FZ,70.52032467230855,2.495005704080185e-31
O1,T5,69.54873901105859,6.582315912556381e-31
O2,T5,69.17993766600584,9.512700482492395e-31
C4,P3,68.59673140250413,1.7029621496696283e-30
O2,O1,66.5388189713502,1.3292986627271102e-29
T5,F7,66.02119336054318,4.516224255204829e-16
T3,C4,64.89717002884703,6.847870513238803e-29
O1,F8,64.32798087558535,1.20893083480487e-28
T5,Fp2,63.408607144246226,3.0277631166950275e-28
