Channel,Participation_Coefficient
Fp1,0.41153618191576424
Fp2,0.41833335006136463
F3,0.48335887956458123
F4,0.4695018446552339
C3,0.5006069064243113
C4,0.5041327002252999
P3,0.4556176963855686
P4,0.4855200136405956
O1,0.4110109648606539
O2,0.35614983479504925
F7,0.4611576284702654
F8,0.4353110960672031
T3,0.5031829067480761
T4,0.4972118697413501
T5,0.3776353463985409
T6,0.3658882917796219
FZ,0.4773361531831073
CZ,0.5041985517953501
PZ,0.4811459562090957
25+,0.6558180876139658
26+,0.6197653539318054
27+,0.6515525086041776
